name,country,province,population,longitude,latitude
Дедедо,ГУАМ,Гуам,46000.0,144.8,13.5
Мэри,ТМ,Мэри,94900.0,,
Бильбао,E,Страна Басков,371876.0,,
Раджамундри,СИН,Андхра Прадеш,324881.0,,
Жезкацган,KAZ,Жезкацган,,,
Толедо,США,Огайо,332943.0,-83.8,41.6
Кэсон,Норк,Северная Корея,120000.0,,
Харрогат,ГБ,Северный Йоркшир,146500.0,,
Дюк де Каксиас,КР,Рио-де-Жанейро,712370.0,,
Претория,RSA,Гаутенг,526000.0,28.2333,-25.75
Мерида,YV,Мерида,170902.0,,
Чернихив,UA,Черниховка,301000.0,,
Бенха,ЕТ,Эль-Калубия,120000.0,,
Санкт-Петербург,США,Флорида,240318.0,-83.3333,27.7667
Мусома,ЕАТ,Мара,,,
Мэнсфилд,ГБ,Ноттингемшир,102100.0,,
Стоктон на Тисе,ГБ,Кливленд,177800.0,,
Острава,CZ,Североморавский,332000.0,,
Владимир,Р,Владимирская область,339000.0,,
Суккур,ПК,Пакистан,190551.0,,
Майунга,РМ,Махаджанга,200000.0,,
Буэа,КАМ,Судоэст,,,
Южно Сахалинск,Р,Сахалинская область,160000.0,,
Дурадос,КР,Мато Гроссо-ду-Сул,153165.0,,
Уагадугу,BF,Буркина-Фасо,,-2.0,12.0
Тайжоу,ТДж,Цзянсу,152442.0,,
Пул,ГБ,Дорсет,137200.0,,
Салем,СИН,Тамилнад,366712.0,,
Тбилиси,ГЭ,Грузия,1200000.0,44.8,41.7167
Кувейт,KWT,Кувейт,167768.0,47.3,29.3
Длинный,ТДж,Джилин,139417.0,,
Лимоджи,F,Лимузин,133464.0,1.2,45.5
Хуазейро,КР,Баия,171904.0,,
Кемшахр,IR,Мазандаран,123684.0,,
Кавалла,ГР,Анатолийка Македония Кай Траки,56705.0,,
Горган,IR,Мазандаран,162468.0,,
Денвер,США,Колорадо,467610.0,-104.867,39.75
Памплона,E,Наварр,182465.0,,
