country,target
AZ,нехристианские
КОК,Кристиан
СУД,нехристианские
C,Кристиан
ФПОЛ,Кристиан
АНГ,Кристиан
MS,нехристианские
CV,Кристиан
TN,нехристианские
BZ,Кристиан
ЛБ,нехристианские
CH,Кристиан
И ДОЛЖНОСТНЫЕ ЛИЦА,Кристиан
WL,Кристиан
РП,Кристиан
RO,Кристиан
WD,Кристиан
A,Кристиан
ЛАР,нехристианские
МНП,Кристиан
МЭТ,нехристианские
АМСА,Кристиан
ГРАД,Кристиан
ТДж,нехристианские
NEP,нехристианские
ГУАМ,Кристиан
ДК,Кристиан
РИМ,нехристианские
LAO,нехристианские
V,Кристиан
СПМИ,Кристиан
AL,нехристианские
TCH,нехристианские
SLO,Кристиан
SY,Кристиан
ES,Кристиан
SF,Кристиан
КН,Кристиан
МЕКС,Кристиан
ЕС,Кристиан
ФШМ,Кристиан
БиГ,нехристианские
BS,Кристиан
