name,area,depth,altitude,type,river,longitude,latitude
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Верхнее озеро,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Кратерское озеро,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,5770.0,19.0,71.0,соль,,-62.67,-30.5
Сильвян,290.0,134.0,161.0,последствия,Остердалаэльв,14.8,60.85
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Озеро Кебан,675.0,,,,Евфрат,38.75,38.8
Озеро Бангвеулу,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Каллавеси,472.0,,,,Вуокси,27.7,62.9
&lt; &lt; Нам Ко &gt; &gt;,1855.0,125.0,4718.0,соль,,90.55,30.7
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Озеро Киога,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
Озеро Туркана,6405.0,73.0,375.0,соль,,36.1,3.6
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Лаго-де-Чапала,1685.0,12.0,1520.0,,Рио-Лерма,-103.05,20.22
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Барьер &lt; &lt; Мбакау &gt; &gt;,,,,искусственные,Санага,12.75,6.4
Ozero Balchash,18428.0,26.0,342.0,соль,,74.88,46.55
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
&lt; &lt; Инари &gt; &gt;,1040.0,92.0,119.0,,Паатшоки,27.7,68.95
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лоуренса,-77.96,43.695
Ozero Taimir,4560.0,26.0,5.0,,,101.6,74.5
Лаго-ди-Бракьяно,57.0,160.0,164.0,Кальдера,,12.2,42.1
Мертвое море,41650.0,378.0,-422.0,соль,,35.5,31.3
Туннели,48.3,217.0,558.0,,Aare,7.716,46.69
Веттерн,1900.0,119.0,88.0,,,14.5,58.3
Озеро Форт-Пек,981.0,67.0,,искусственные,Миссури,-106.4,48.0
Пейджаенн,1118.0,95.0,78.0,,Кимижоки,25.4,61.5
Озеро Маниту,104.0,,,,,-82.0,45.76
Лаго-ди-Комо,146.0,425.0,197.0,,Adda,9.3,46.0
Лаго-ди-Больсена,114.0,151.0,335.0,Кальдера,,11.9,42.6
Озеро Тоба,1103.0,505.0,905.0,Кальдера,Асахан,98.8,2.6
Пирамидское озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Саймаа,4370.0,85.0,76.0,,Вуокси,28.0,61.3
Озеро Охрид,367.0,289.0,695.0,,Черный кусок,20.7,41.0
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
