country,continent,percentage
A,Европа,100.0
AL,Европа,100.0
И ДОЛЖНОСТНЫЕ ЛИЦА,Европа,100.0
B,Европа,100.0
БГ,Европа,100.0
БиГ,Европа,100.0
Клянусь!,Европа,100.0
CH,Европа,100.0
CY,Европа,100.0
CZ,Европа,100.0
D,Европа,100.0
ДК,Европа,100.0
E,Европа,100.0
ЭВ,Европа,100.0
F,Европа,100.0
FARX,Европа,100.0
ФЛ,Европа,100.0
ГБ,Европа,100.0
ГБГ,Европа,100.0
GBJ,Европа,100.0
GBM,Европа,100.0
ГБЦ,Европа,100.0
ГР,Европа,100.0
Н,Европа,100.0
HR,Европа,100.0
I,Европа,100.0
IRL,Европа,100.0
ИУ,Европа,100.0
KOS,Европа,100.0
L,Европа,100.0
ЛТ,Европа,100.0
ЛВ,Европа,100.0
М,Европа,100.0
МК,Европа,100.0
MD,Европа,100.0
MK,Европа,100.0
МНП,Европа,100.0
Н,Европа,100.0
Нл,Европа,100.0
Р,Европа,100.0
PL,Европа,100.0
Р,Европа,20.0
RO,Европа,100.0
РШМ,Европа,100.0
И,Европа,100.0
SF,Европа,100.0
SK,Европа,100.0
SLO,Европа,100.0
ОПП,Европа,100.0
SVAX,Европа,100.0
ТR,Европа,5.0
UA,Европа,100.0
V,Европа,100.0
АНГ,Африка,100.0
COM,Африка,100.0
РГ,Америки,100.0
ВРЕМЯ,Австралия/Океания,100.0
ЕТ,Африка,90.0
РВА,Африка,100.0
Бен,Африка,100.0
NEP,Азия,100.0
Парень,Америки,100.0
LAO,Азия,100.0
WD,Америки,100.0
KWT,Азия,100.0
КОК,Австралия/Океания,100.0
МАКХ,Азия,100.0
KGZ,Азия,100.0
SGP,Азия,100.0
ФСО,Австралия/Океания,100.0
ЛС,Африка,100.0
ОМТС,Австралия/Океания,100.0
NAU,Австралия/Океания,100.0
