desert,country,province
Дашт-э-Марго,AFG,Афганистан
Кысилкум,KAZ,Кызылорда
Такла-Макан,ТДж,Синьцзян Уйгур
Гоби,ТДж,Нинксиа Хуидзу
Каракум,ТМ,Мэри
Кысилкум,Юзеф,Каракальпогистон
Дашт-е-Лут,IR,Хорасан
Руб аль-Чали,С.А.,Саудовская Аравия
Тенере,РН,Нигер
Эрг Игиди,DZ,Алжир
Руб аль-Чали,ДА,Йемен
Азауад,РММ,Мали
Эрг Чеч,РММ,Мали
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Mojave,США,Аризона
Муджункум,KAZ,Жамбил
Рин,Р,Астраханская область
Ферло,SN,Луга
Тенере,TCH,Чад
Эрди Эннеди,TCH,Чад
Ордос,ТДж,Нэй Монголь
Большая песчаная пустыня,AUS,Западная Австралия
Каракум,ТМ,Ахал
Mojave,США,Калифорния
Калахари,АНГ,Куандо Кубинго
Красный центр,AUS,Северная территория
Пустыня,AUS,Северная территория
Сонора,США,Аризона
Фесан,ЛАР,Ливия
Кысилкум,Юзеф,Джиззах
Эрг Игиди,РММ,Мали
Пустыня,AUS,Квинсленд
Нубийская пустыня,СУД,Шаркия
Чиуауа,США,Техас
Кум Таг,ТДж,Синьцзян Уйгур
Сонора,МЕКС,Чиуауа
Кысилкум,Юзеф,Самарканд
Оуихи,США,Айдахо
Ливийская пустыня,ЕТ,Матрух
Калахари,Z,Южный
Красный центр,AUS,Западная Австралия
Ливийская пустыня,ЕТ,Эль-Минья
Калахари,РБ,Ботсвана
Чиуауа,США,Аризона
Сирийская пустыня,JOR,Иордания
Thar,СИН,Харьяна
Азауад,РН,Нигер
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Танезруфт,DZ,Алжир
Ливийская пустыня,СУД,Дарфур
Эрг Чеч,DZ,Алжир
Пустыня Симпсон,AUS,Квинсленд
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Mojave,США,Юта
Каракум,Юзеф,Самарканд
Сирийская пустыня,ИРК,Аль-Анбар
Дашт-е-Лут,IR,Эсфахан
Руб аль-Чали,РОУ,Оман
Ust Urt,KAZ,Мангистау
Великая пустыня Виктория,AUS,Южная Австралия
Великая пустыня Виктория,AUS,Западная Австралия
Ферло,SN,Тамбакунда
Ливийская пустыня,ЕТ,Бени Сюф
Дашт-е-Лут,IR,Систан и Белучестан
Колорадо Плато,США,Колорадо
Калахари,ДН,Намибия
Thar,ПК,Пакистан
Пустыня Симпсон,AUS,Южная Австралия
Организация &lt; &lt; Организация Объединенных Наций &gt; &gt;,ТДж,Цинхай
Намиб,ДН,Намибия
Ригестан,ПК,Пакистан
Негев,Ил,Южное
Азауад,DZ,Алжир
Ригестан,AFG,Афганистан
Оуихи,США,Невада
Эрг Мактейр,РИМ,Мавритания
