abbreviation,name,city,country,province,established
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
МФК,Международная финансовая корпорация,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1955-05-25
Группа 11,Группа 11,,,,1984-06-22
ОМЧП,Партнерство во имя мира,,,,1994-01-10
ВОТ,Всемирная туристская организация,Мадрид,E,Мадрид,1975-01-02
ОАТЭС,Организация арабских стран-экспортеров нефти,,,,1968-01-09
ВАБР,Западноафриканский банк развития,Лом,РТ,Того,1973-11-14
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
ППТС,Постоянная палата третейского суда,,,,1899-07-29
ОИК,Организация Исламская конференция,Джидда,С.А.,Саудовская Аравия,1969-09-22
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
МОМ,Международная организация по миграции,Женева,CH,ГЭ,1951-12-05
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
ФАО,Продовольственная и сельскохозяйственная организация,Рим,I,Лацио,1945-10-16
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,A,Вена,1995-01-01
ЦЕИАК,Экономическое сообщество центральноафриканских государств,Либревиль,G,Габон,1983-10-18
МООННГ,Миссия Организации Объединенных Наций по наблюдению в Грузии,Нью-Йорк,США,Нью-Йорк,
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
ООН,В настоящий отчет могут вноситься поправки.,Нью-Йорк,США,Нью-Йорк,1945-06-26
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ОВКГ,Организация восточнокарибских государств,Кастри,WL,Сент-Люсия,1981-06-18
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
О-5,Группа 5,,,,1985-09-22
АфБР,Африканский банк развития,Абиджан,CI,Кот-д &apos; Ивуар,1963-08-04
ЛАИА,Латиноамериканская ассоциация интеграции,Монтевидео,Ру,Уругвай,1980-08-12
МООНГ,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
ОЭСР,Организация экономического сотрудничества и развития,Париж,F,Иль де Франция,1960-12-14
Группа 77,Группа 77,,,,1967-10-01
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
