country,independence,dependent,government
АГ,1981-11-01,,парламентская демократия
A,1918-11-12,,Федеративная республика
HELX,,ГБ,Британские заморские территории
Газа,,,
ЛВ,1991-09-06,,Республика
KWT,1961-06-19,,Номинальная конституционная монархия
К,1970-06-04,,Наследственная конституционная монархия
МПК,1975-06-25,,Республика
ЕАС,1962-10-09,,Республика
CZ,1993-01-01,,парламентская демократия
RSA,1910-05-31,,Республика
GBM,,ГБ,British Kone Industice (иждивенчество британской кроны)
TN,1956-03-20,,Республика
GBJ,,ГБ,British Kone Industice (иждивенчество британской кроны)
ТА,1238-01-01,,конституционная монархия
SY,1976-06-29,,Республика
CY,1960-08-16,,Республика
Нл,1579-01-01,,конституционная монархия
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
Кл,1948-02-04,,Республика
ТR,1923-10-29,,Республиканская парламентская демократия
E,1492-01-01,,Парламентская монархия
PL,1918-11-11,,демократическое государство
РМ,1960-06-26,,Республика
НМИС,,США,содружество в политическом союзе с США
D,1871-01-18,,Федеративная республика
ЭТО,,,Федеративная республика
ES,1821-09-15,,Республика
ДН,1990-03-21,,Республика
ГБЦ,,ГБ,зависимых территорий Соединенного Королевства
ВИРГ,,,организован
AZ,1991-08-30,,Республика
МАРТ,,F,Министерство иностранных дел Франции
ПА,1903-11-03,,конституционная республика
ГУАМ,,США,организован
I,1861-03-17,,Республика
AUS,1901-01-01,,Федеральный парламентский штат
ARU,,Нл,часть нидерландского королевства
МГ,1986-10-21,,конституционное правительство в свободной ассоциации с США
MK,1991-09-17,,Формирующаяся демократия
SK,1993-01-01,,парламентская демократия
RL,1943-11-22,,Республика
МЭТ,1956-03-02,,конституционная монархия
ГЭ,1991-04-09,,Республика
ФПОЛ,,F,Зарубежная территория Франции с 1946 года
IRL,1921-12-06,,Республика
UA,1991-12-01,,Республика
KAZ,1991-12-16,,Республика
F,,,Республика
WV,1979-10-27,,конституционная монархия
DZ,1962-07-05,,Республика
М,1964-09-21,,парламентская демократия
ИРК,1932-10-03,,Республика
ЧР,1821-09-15,,Демократическая Республика
RCH,1810-09-18,,Республика
ВАЛ,1961-04-27,,конституционная демократия
МАКХ,,ТДж,и специальной административной области в Китае
ФСО,1970-10-10,,Республика
CH,,,Федеративная республика
БИ,1962-07-01,,Республика
КН,1867-07-01,,Конфедерация с парламентской демократией
COCO,,AUS,территории Австралии
ЗАХОД,,,
ДА,1990-05-22,,Республика
