river,country,province
Морава,ОПП,Сербия
Хорошо.,Р,Нижегородская область
Индус,ПК,Пакистан
Ривер Огайо,США,Иллинойс
Рио Магдалена,CO,Атлантико
Сон,F,Рон-Алпес
Луар,F,Платежи за обучение в Луаре
Ломами,ЗРЕ,Верхний Заир
Саар,D,Rheinland Pfalz
Длинная кость,AL,Австралия
март,SK,Словакия
Асахан,РИ,Индонезия
Гудзон Ривер,США,Нью-Йорк
Оранье,ДН,Намибия
Тшуапа,ЗРЕ,Уравнение
Далаэльв,И,Уппсала
Салуэн,МЬЯ,Мон
Эннс,A,Нижняя Австрия
Джокулса Фьоэллум,ИУ,Италия
Урал,KAZ,Атырау
Тибер,I,Лацио
Рио-Негро,КР,Амазонки
Янгце,ТДж,Шанхай (шум)
Рио-Лерма,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Сальзах,D,Байерн
Кимижоки,SF,Уусимаа
Фульда,D,Гессен
Ривьер Ришелье,КН,Квебек
Миссури,США,Миссури
Река Коннектикут,США,Коннектикут
Одер,D,Мекленбург Ворпоммерн
Аргун,Р,Читинская область
Шилка,Р,Читинская область
Минсио,I,Венето
Семлики,ЕАС,Уганда
Мурат,ТR,Элазиг
Янгце,ТДж,Цзянсу
Карун,IR,Хузестан
Колорадо,МЕКС,Нижняя Калифорния
Нил,ЕТ,Эль-Бухайра
Сенегал,SN,Сент-Луис
Рузизи,ЗРЕ,Киву
Шари,TCH,Чад
Амазонки,КР,Пункт
Касаи,ЗРЕ,Бандунду
Бенуэ,ВАН,Нигерия
Убанги,ЗРЕ,Уравнение
Шабель,СП,Сомали
Теннесси,США,Кентукки
Прокрутка,Р,Ленинградская область
Куило,ЗРЕ,Бандунду
Западная Двина,ЛВ,Латвия
Нарын,TAD,Худжан
Миссисипи,США,Луизиана
Джениссдж,Р,Красноярский крей
Гуадиана,Р,Порто
Остердалаэльв,И,Даларна
Мёр,Н,Зала
Роун,F,Прованс Коте dAzur
Po,I,Венето
Кокемаенейоки,SF,Турку-Пори
Иллер,D,Байерн
Гётаэльв,И,Готеборг ох Бохус
Донау,UA,Odeska
Вольта,GH,Гана
Амазонки,КР,Амапа
Аммер,D,Байерн
Таджо,Р,Лиссабон
Мюррей Ривер,AUS,Южная Австралия
Сирдарья,Юзеф,Тоскент
Гаронн,F,Аквитан
Днепр,UA,Херсонска
Санга,КБК,Конго
Эннс,A,Зальцбург
Прайт,MD,Молдова
Тигр,ИРК,Аль-Анбар
Унасджоки,SF,Лаппия
Вуокси,Р,Респондент Карелии
Арканзас,США,Арканзас
