country,organization,type
RL,МБРР,Член
Р,МЭА,Член
КБК,ЮНЕСКО,Член
МСП,МАБР,Член
РММ,ЮНЕСКО,Член
PL,ZC,Член
IR,МОТ,Член
ГБ,МФК,Член
HR,ВПС,Член
HCA,WFTU,Член
AXA,ОВКГ,ассоциированный член
МНП,МОМ,Член
JOR,ОИК,Член
SK,ОООНВД,Член
Ил,МФК,Член
VN,МАГАТЭ,Член
Новой Зеландии,ВОЗ,Член
НИК,ВОТ,Член
CI,FZ,Член
E,ОООНВД,Член
ТМ,ВОЗ,Член
ФПОЛ,ВМО,Член
IR,МСЭ,Член
ИРК,AL,Член
LAO,WFTU,Член
NEP,ООН,Член
МНП,ООН,Член
УР,ФАО,Член
ГР,ВПС,Член
ЧП,ИКАО,Член
ВАН,ППТС,Член
М,ФАО,Член
ДА,AL,Член
ТЛ,МОТ,Член
ВАГ,АКТ,Член
МГ,МАГАТЭ,Член
PL,МКСП,Член
TCH,ИКАО,Член
ВАГ,МОТ,Член
BS,АКТ,Член
ЭАК,СПРООН,Член
AUS,ООН,Член
МЕКС,МОТ,Член
Клянусь!,ОБСЕ,Член
TCH,МБРР,Член
E,WFTU,Член
ЕС,ППТС,Член
ТМ,ЕБРР,Член
МПК,ЭКА,Член
К,МФСР,Категория III
РОУ,ООН,Член
ARM,ВМО,Член
Нл,ОООНВД,Член
ПА,Инмарсат,Член
ДА,ДН,Член
SN,МФК,Член
TCH,МКСП,Член
РИ,ЮНИДО,Член
МНТ,ВПС,Член
Р,КХЦ,Член
БОЛ,ВОИС,Член
США,ВОЗ,Член
J,ВОЗ,Член
G,ЮДЕАК,Член
J,УВКБ,Член
B,ГВНООНИП,Член
CZ,ГЯП,Член
Н,МКПТ,Национальное общество
F,ВПС,Член
ЕТ,МНООНЛ,Член
МГ,ЭСКАТО,Член
DZ,ФАО,Член
НИК,Группа 77,Член
KWT,ВПС,Член
К,ФАО,Член
ФСО,ИКМООНН,Член
KWT,МФСР,Категория II
ЗРЕ,МВФ,Член
Н,О-9,Член
ПА,МАР,Часть II
ИУ,ЕАСТ,Член
