sea1,sea2
Индийский океан,Сундское море
Беременное море,Тихоокеанский океан
Бенгальский залив,Сундское море
Балтийское море,Северное море
Индийский океан,Тихоокеанский океан
Арабское море,Индийский океан
Море Баренцев,Норвежское море
Аденский залив,Индийский океан
Атлантический океан,Карибское море
Атлантический океан,Мексиканский залив
Северное море,Скагеррак
Арабское море,Аденский залив
Тихоокеанский океан,Охотское море
Северный Ледовитый океан,Море Баренцев
Арабское море,Оманский залив
Море Сулавеси,Сундское море
Малаккский пролив,Южно-Китайское море
Аденский залив,Красное море
Восточно-Китайское море,Южно-Китайское море
Северный Ледовитый океан,Норвежское море
Южно-Китайское море,Сундское море
Восточно-Китайское море,Тихоокеанский океан
Атлантический океан,Индийский океан
Восточно-Китайское море,Желтое море
Северный Ледовитый океан,Беременное море
Море Баренцев,Сибирианское море
