country,gdp,agriculture,service,industry,inflation
B,197000.0,2.0,28.0,70.0,1.6
Клянусь!,49200.0,21.0,49.0,30.0,244.0
CZ,106200.0,5.8,40.7,53.5,9.1
D,1452200.0,1.0,34.2,64.8,
E,565000.0,3.6,33.6,62.8,4.3
F,1173000.0,2.4,26.5,71.1,1.7
ГБ,1138400.0,1.7,27.7,70.6,3.1
ГР,101700.0,11.8,22.2,66.0,8.1
Н,72500.0,7.3,37.5,55.2,28.3
I,1088600.0,2.9,31.6,65.5,5.4
Нл,301900.0,3.4,26.9,69.7,2.25
PL,226700.0,7.0,38.0,55.0,21.6
Р,796000.0,6.0,41.0,53.0,7.0
RO,105700.0,19.6,36.3,44.1,25.0
ТR,345700.0,15.5,33.2,51.3,94.0
UA,174600.0,31.0,43.0,26.0,9.0
ВАГ,1100.0,27.0,15.0,58.0,1.7
AL,4100.0,55.0,,,16.0
МНТ,29.0,1.2,23.1,75.7,2.6
SF,92400.0,4.6,28.0,67.4,2.0
РП,179700.0,22.0,30.0,48.0,8.1
