island,sea,lake,river
Батам,Южно-Китайское море,,
Скай,Атлантический океан,,
Сицилия,Средиземное море,,
Бонайре,Карибское море,,
Пико,Атлантический океан,,
Фейлиал,Атлантический океан,,
Италия,Атлантический океан,,
Фальстер,Балтийское море,,
Окинава,Тихоокеанский океан,,
Басс-Терре,Карибское море,,
Сан Мигель,Атлантический океан,,
Парамушчир,Тихоокеанский океан,,
Амрум,Северное море,,
Провиденсьялес,Атлантический океан,,
Грасиоза,Атлантический океан,,
Сарденья,Средиземное море,,
Манитулен,,Озеро Гурон,
Понапе,Тихоокеанский океан,,
Сантьяго,Атлантический океан,,
Антигуа,Атлантический океан,,
Мальта,Средиземное море,,
Гранд-Тёрк,Атлантический океан,,
Большой Кайман,Карибское море,,
Бенбекула,Атлантический океан,,
Остров Сан-Клементе,Тихоокеанский океан,,
Хонсю,Тихоокеанский океан,,
Сент-Пьер,Атлантический океан,,
Нантакет,Атлантический океан,,
Доминика,Атлантический океан,,
Новое Провидение,Атлантический океан,,
Принсипи,Атлантический океан,,
Сент-Китс,Атлантический океан,,
Куракао,Карибское море,,
Сент-Люсия,Карибское море,,
Тенерифа,Атлантический океан,,
Гвадалканал,Тихоокеанский океан,,
Сент-Китс,Карибское море,,
Тортола,Карибское море,,
Ниуэ,Тихоокеанский океан,,
Остров Рене Левассеур,,Озеро Маникуаган,
Минданао,Море Сулавеси,,
Ангилья,Атлантический океан,,
Хоккайдо,Охотское море,,
Спиекерог,Северное море,,
Флорес,Атлантический океан,,
Олкхон,,Ozero Baykal,
Парамушчир,Охотское море,,
Каваратти,Арабское море,,
Суматра,Малаккский пролив,,
Пемба,Индийский океан,,
Ибица,Средиземное море,,
Монтсеррат,Атлантический океан,,
Великобритании,Ирландское море,,
Великобритании,Атлантический океан,,
Суматра,Южно-Китайское море,,
Косс,Средиземное море,,
Южное Уист,Атлантический океан,,
Маврикий,Индийский океан,,
Майотта,Индийский океан,,
Авст-Вагои,Норвежское море,,
Тайвань,Восточно-Китайское море,,
