river,country,province
Драу,I,Трентино Альто Адиге
Одер,CZ,Североморавский
Меконг,ТДж,Тибет
Касаи,АНГ,Моксико
Иравадди,ТДж,Тибет
Иордания,RL,Ливан
Рио-Негро,CO,Гуайния
Вейксель,PL,Бельский
Рейн,CH,ГР
Джениссдж,Р,Репозиция Тивы
Янгце,ТДж,Цинхай
Бани,CI,Кот-д &apos; Ивуар
Лулуа,ЗРЕ,Шаба/Катанга
Петшора,Р,Репозиция Коми
Alz,D,Байерн
Рио Десагуадеро,БОЛ,Боливия
Лейн,D,Нидераксен
Изир,F,Рон-Алпес
Ангара,Р,Республика Бурьятия
Гамбия,RG,Гвинея
Adda,I,Ломбардия
Сирдарья,TAD,Худжан
Рио Сан-Франциско,КР,Минас-Жерайс
Вааг,SK,Словакия
Ольт,RO,Харгита
Река Маккензи,КН,Северо-западные территории
Кокемаенейоки,SF,Турку-Пори
Черный кусок,MK,Чешская Республика
Молдау,CZ,Джихокески
Ориноко,YV,Амазонки
Вестердалаэльв,И,Даларна
Лимпопо,RSA,Гаутенг
Клараэльв,Н,Хедмарк
Лувуа,ЗРЕ,Шаба/Катанга
Иллер,A,Ворарльберг
Убанги,РСС,Центральноафриканская Республика
Роун,CH,VS
Нельсон Ривер,КН,Манитоба
Аммер,D,Байерн
Рио Мадейра,БОЛ,Боливия
Таджо,E,Кастиль Ла Манча
Луар,F,Рон-Алпес
Гломма,Н,Тронделаг
Уэсер,D,Нидераксен
Арувими,ЗРЕ,Верхний Заир
Волга,Р,Тверская область
Карасу,ТR,Эрзурум
Нигер,RG,Гвинея
Хванхо,ТДж,Цинхай
Сомнения,F,Фрэнше Комте
Катун,Р,Репозиция Альтая
Тичино,CH,TI
Луапула,Z,Луапула
Днестр,UA,Львовская
Колорадо,США,Колорадо
Рио Сан-Хуан,НИК,Никарагуа
Фими,ЗРЕ,Бандунду
Лимат,CH,ZH
Габариты,ТДж,Тибет
Теннесси,США,Северная Каролина
Река Аллегени,США,Пенсильвания
Западная Морава,ОПП,Сербия
Марн,F,Шампанское Арден
Пьэндш,AFG,Афганистан
Чир,МВт,Малави
Люкни,ЗРЕ,Восточная Касаи
Днепр,Р,Смоленская область
