river,country,province
Хванхо,ТДж,Цинхай
Иордания,RL,Ливан
Парагвай,PY,Парагвай
Одер,CZ,Североморавский
Санга,КБК,Конго
Дон,Р,Липетская область
Токантины,КР,Токантины
&lt; &lt; Шатт аль-Араб &gt; &gt;,IR,Хузестан
Ориноко,YV,Анзоатеги
Акагера,РВА,Руанда
Донау,RO,Константаa
март,CZ,Джигоморавский
Саскачеванская река,КН,Саскачеван
Бенуэ,КАМ,Северный
Амударья,ТМ,Дашхауз
Донау,RO,Калараси
Лаген,Н,Акершус
Джениссдж,Р,Республика Хакассия
Парана,КР,Гоиас
Тигр,ТR,Сирт
Мёр,A,Зальцбург
Заир,ЗРЕ,Уравнение
Амударья,AFG,Афганистан
Лимпопо,RSA,Лимпопо
Драу,I,Трентино Альто Адиге
Пьэндш,TAD,Хатлон
Куанго,АНГ,Лунда Сул
Санага,КАМ,Центр
Гвадалкивир,E,Андалусия
Янгце,ТДж,Хунан
Амур,ТДж,Хейлонгцзян
Фими,ЗРЕ,Бандунду
Нил,ЕТ,Бени Сюф
Касаи,АНГ,Лунда Сул
Темба,ГБ,Кент
Волга,Р,Республика Татарстан
Колорадо,МЕКС,Сонора
Днепр,UA,Запориска
Река Коннектикут,США,Нью-Гэмпшир
Оранье,ДН,Намибия
Бригач,D,Баден Вуртемберг
Шилка,Р,Читинская область
Эннс,A,Зальцбург
Таджо,Р,Кастело Бранко
Тейсс,UA,Закарпатская
Иртыш,Р,Тюменская область
Парана,КР,Парана
Гудзон Ривер,США,Нью-Джерси
Нил,ЕТ,Сохаг
Рейн,CH,ТГ
Амазонки,ПЭ,Укаяли
Ольт,RO,Харгита
Эльба,D,Саксен Анхальт
Далаэльв,И,Даларна
