lake,country,province
Бодензе,D,Баден Вуртемберг
Озеро Туркана,ЭАК,Лифтовая долина
Озеро Чилва,МВт,Малави
Озеро Бангвеулу,Z,Луапула
Верхнее озеро,США,Миннесота
Цинхайское озеро,ТДж,Цинхай
Vierwaldstattersee,CH,ОЖ
Маеларен,И,Уппсала
Озеро Ван,ТR,Битлис
Озеро Виктория,ЕАТ,Кагера
Озеро Маниту,КН,Онтарио
Атлинское озеро,КН,Территория Юкон
Озеро Мичиган,США,Висконсин
Балатон,Н,Веспрем
Старнбергер См.,D,Байерн
Ozero Chanka,Р,Приморский крей
Озеро Преспа,AL,Австралия
озеро Никарагуа,ЧР,Алахуэла
Озеро Чилва,МПК,Ньяса
Лаго Трасимено,I,Тоскана
Озеро Бангвеулу,Z,Северный
Крейтерское озеро Ликанкабур,БОЛ,Боливия
Озеро Кебан,ТR,Элазиг
Озеро Виктория,ЕАС,Уганда
Озеро Нипигон,КН,Онтарио
Валенерн,И,Альвсборг
Озеро Эри,США,Мичиган
Озеро Тахо,США,Невада
Ozero Balchash,KAZ,Жезкацган
"Дэриаш, ты, Намак",IR,Тегеран
