island,country,province
Тайвань,КР,Тайвань
Великобритании,ГБ,Хертфордшир
Готландия,И,Готландия
Тринидад,ТТ,Тринидад и Тобаго
Оаху,США,Гавайи
Озель,ЭВ,Литва
Тристан-да-Кунья,HELX,Остров Св. Елены
Куба,C,Гуантанамо
Гренландия,ГРОКС,Гренландия
Восточный Фолкленд,ФАЛК,Фолклендские острова
Иерро,E,Канарские острова
Понапе,ФШМ,Микронезия
Мохилья,COM,Коморские Острова
Испаньола,ДОМ,Доминиканская Республика
Хонсю,J,Хиого
Хонсю,J,Окаяма
Арран,ГБ,Стратклид
Окинава,J,Окинава
Великобритании,ГБ,Верфь
Новая Гвинея,РИ,Индонезия
Саваи,WS,Самоа
Хонсю,J,Гифу
Великобритании,ГБ,Беркшир
Мадагаскар,РМ,Махаджанга
Айла да Ометепе,НИК,Никарагуа
Принсипи,ПДТ,Сан-Томе и Принсипи
Бальтрум,D,Нидераксен
Кауай,США,Гавайи
Великобритании,ГБ,Западный Йоркшир
Хонсю,J,Чиба
Великобритании,ГБ,Камбриа
Рота,НМИС,Северные Марианские острова
Руген,D,Мекленбург Ворпоммерн
Олкхон,Р,Республика Бурьятия
