name,islands,area,height,type,longitude,latitude
Индонезия,Малые Антильские острова,161.0,,,-61.4,17.3
Лангеланд,,284.0,,,10.5,55.0
Себу,Филиппины,5088.0,1000.0,,123.8,10.4
Молокай,Гавайские острова,676.0,1512.0,,-157.0,21.1
Пуэрто-Рико,Большие Антильские острова,8870.0,1338.0,,-66.12,18.49
Вити Леву,Острова Фиджи,10429.0,,вулканическое,178.0,-17.8
Тиниан,Марианские острова,101.0,171.0,,145.6,15.0
Остров Котельни,,11665.0,374.0,,141.0,75.4
Амеланд,&lt; &lt; Вестфриз &gt; &gt;,57.6,,,5.75,53.5
Грязный червь,Nordfrisische Inseln,37.4,2.0,,8.6,54.5
Дагое,,965.0,,,22.7,58.8
Ислай,Внутренние гебриды,619.6,491.0,,7.0,62.1
Бонайре,Малые Антильские острова,288.0,,,-68.3,12.2
Оланд,,1344.0,,,17.0,57.0
Воссоединение,,2510.0,3069.0,вулканическое,55.5,-20.9
Ангилья,Малые Антильские острова,91.0,65.0,,-64.0,18.0
Линоза,,5.0,195.0,вулканическое,13.85,35.85
Новое Провидение,Острова Бахама,207.0,,,-77.4,25.0
Самос,Споры,478.0,1434.0,,26.8,37.7
Кюсю,Япония,35640.0,1758.0,вулканическое,131.0,32.0
Крета,,8331.0,2456.0,,25.0,37.0
Сицилия,,25462.0,3323.0,,14.0,37.0
Сулавеси,Острова Сунда,189216.0,3455.0,вулканическое,120.3,-2.1
Юра,Внутренние гебриды,367.0,785.0,,-6.0,56.0
Тутуила,Острова Самоа,135.0,,вулканическое,-170.42,-14.16
Анжуан,Коморы,424.0,,,44.35,-12.2
Остров Сан-Клементе,Калифорнийские Нормандские острова,147.0,599.0,,-118.5,33.0
Князь острова Уэльс,Канадские Арктические острова,33339.0,,,-98.55,72.6
Те Ика-а-Мауи (Северный остров),Новая Зеландия,114597.0,2797.0,,175.7,-38.4
Эфат,Вануату,900.0,647.0,,168.4,-17.8
Западный Фолкленд,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Сансибар,,1658.0,135.0,,39.3,-6.1
Большие Бермудские острова,Бермудские острова,53.3,79.0,кораллы,-64.47,32.17
Мадагаскар,,587041.0,2876.0,,46.0,-20.0
Салина,Острова Липари,26.8,962.0,вулканическое,14.9,38.6
Бишоп Рок,Шилли-Айлендс,,,,-6.3,50.0
Мальта,Мальта,246.0,252.0,,14.5,35.9
Ла-Пальма,Канареи,708.0,2426.0,вулканическое,-17.9,28.7
Озель,,2714.0,54.0,,22.0,58.3
Провиденсьялес,Острова Тёркс и Кайкос,,,,-72.3,22.0
Остров Баффин,Канадские Арктические острова,507451.0,2147.0,,72.0,69.0
Шетландский материк,Шетландские острова,970.0,449.0,,-1.3,60.3
Ниихау,Гавайские острова,178.0,381.0,,-160.1,21.9
Норт-Уист,Внешние гебриды,303.0,,,-7.1,57.4
Сумбава,Острова Сунда,15448.0,2850.0,,116.1,-8.8
Маврикий,,1860.0,828.0,вулканическое,57.0,-20.0
Арран,Внутренние гебриды,430.0,874.0,,-5.5,55.3
Скай,Внутренние гебриды,1385.0,993.0,,-6.3,57.3
Борнхольм,,588.0,162.0,,14.9,55.1
Те Вака-а-Мауи (Южный остров),Новая Зеландия,151757.0,3754.0,,170.4,-44.0
Лолланд,,1241.0,,,11.5,54.4
Боркум,&quot; Ostfrisische Inseln &quot;,31.0,6.0,,6.7,53.6
Айла да Ометепе,,270.0,1700.0,,-85.6,11.5
Кипр,,9251.0,1952.0,,33.2,35.4
Мужской,Мальдивские Острова,2.74,1.0,Атолл,72.0,2.0
Гранд-Тёрк,Острова Тёркс и Кайкос,14.0,20.0,,-71.08,21.28
Тристан-да-Кунья,,104.0,,вулканическое,-12.3,-37.1
Сашалин,,76400.0,1609.0,вулканическое,143.0,50.0
Терскельное движение,&lt; &lt; Вестфриз &gt; &gt;,88.0,,,5.3,53.4
Авст-Вагои,Лофты,526.0,1146.0,,14.6,68.3
Олкхон,,730.0,1276.0,,107.4,53.15
Хайнан,,34380.0,1897.0,,109.6,19.1
Остров Норфолк,,34.0,318.0,вулканическое,168.0,-29.0
