sea,country,province
Тихоокеанский океан,К,Тонга
Средиземное море,ГР,Иониои Нисои
Бенгальский залив,БД,Бангладеш
Море Сулавеси,РИ,Индонезия
Карибское море,ПА,Колон
Индийский океан,AUS,Виктория
Тихоокеанский океан,США,Вашингтон
Норвежское море,Н,Финнмарк
Тихоокеанский океан,МЕКС,Нижняя Калифорния
Канал,ГБ,Западный Сассекс
Тихоокеанский океан,J,Ибараки
Норвежское море,ГБ,Шетланд
Средиземное море,ЕТ,Эль-Искандария
Балтийское море,Р,Ленинградская область
Красное море,ЕТ,Эль-Бахр-эль-Ахмар
Мексиканский залив,C,Сьюдад-де-ла-Хабана
Тихоокеанский океан,J,Чиба
Северное море,ГБ,Кент
Азовское море,Р,Ростовская область
Атлантический океан,E,Канарские острова
Японское море,Р,Сахалинская область
Оманский залив,ПК,Пакистан
Тихоокеанский океан,РИ,Индонезия
Атлантический океан,АНГ,Заир
Атлантический океан,СПМИ,Сент-Пьер и Микелон
Сундское море,ТЛ,Тимор-Лешти
Японское море,J,Тоттори
Черное море,UA,Mykolaivska
Тихоокеанский океан,ПЭ,Арекипа
Северное море,Н,Хордаланд
Карибское море,МЕКС,Кинтана Роо
Карибское море,HCA,Грациалы
Норвежское море,ИУ,Италия
Тихоокеанский океан,МЕКС,Герреро
Японское море,J,Хиого
Охотское море,Р,Камчатская область
Атлантический океан,C,Санкти Спиритус
Восточно-Китайское море,ТДж,Чжэцзян
Бенгальский залив,Кл,Шри-Ланка
Атлантический океан,КР,Рио-Гранди-ду-Сул
Скагеррак,ДК,Дания
Андаманское море,МЬЯ,Янгон
Атлантический океан,Р,Лиссабон
Японское море,ОК,Южная Корея
Атлантический океан,США,Нью-Джерси
Атлантический океан,WL,Сент-Люсия
Атлантический океан,БВИР,Британские Виргинские острова
Тихоокеанский океан,ПЭ,Лима
Средиземное море,ГР,Звук Айяон
Персидский залив,ОАЭ,Рас-эль-Хайма
Японское море,J,Ямагата
Средиземное море,HR,Хорватия
Средиземное море,ТR,Айдин
Средиземное море,ЕТ,Эль-Дакалия
Северное море,ГБ,Грэмпиан
Атлантический океан,Парень,Гайана
Тихоокеанский океан,МВ,Мальдивские Острова
Тихоокеанский океан,J,Айти
Канал,ГБ,Гэмпшир
Ирландское море,IRL,Италия
Тихоокеанский океан,МЕКС,Сонора
Бенгальский залив,СИН,Орисса
Атлантический океан,Р,Алгарв
Средиземное море,Ил,Тель-Авив
Японское море,J,Шиман
Средиземное море,МНП,Черногория
Скагеррак,Н,Остров
Северное море,Н,Телемаркировка
Атлантический океан,ГБЦ,Гибралтар
Средиземное море,I,Абруццо
Атлантический океан,РЭ,Рио-Негро
Японское море,J,Ишикава
Атлантический океан,США,Северная Каролина
Атлантический океан,ГНБ,Гвинея-Бисау
Средиземное море,F,Лангедокс Русиллон
Черное море,ГЭ,Грузия
Средиземное море,ГБЦ,Гибралтар
Тихоокеанский океан,J,Кочи
Атлантический океан,AXA,Ангилья
