mountain,island
Г-н Бабель,Остров Рене Левассеур
Голубая гора,Чили
Руапеху,Те Ика-а-Мауи (Северный остров)
Суфриер,Сент-Винсент
Диаблотины морна,Доминика
Жима,Олкхон
Гунунг Бинайя,Церам
Mt. Balbi,Бугенвиль
Королева Марис Пик,Тристан-да-Кунья
Тамбора,Сумбава
Пико де Тейд,Тенерифа
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Pico de los Nieves,Гран Канариа
Leuser,Суматра
Ринджани,Ломбок
Барбо Пик,Остров Эллесмир
Панчак Джая,Новая Гвинея
Кракатау,Кракатау
Гунунг Агунг,Бали
Керинчи,Суматра
Ю Шан,Тайвань
Асахи-Дейк,Хоккайдо
Олимпос,Кипр
Oraefajokull,Италия
Пико де Сан-Томе,Сан-Томе
Бен Невис,Великобритании
Пулог,Лузон
М. Кук,Те Вака-а-Мауи (Южный остров)
Халекала,Мауи
