driverstandingsid,raceid,driverid,points,position,positiontext,wins
58050,552,238,4.0,13,13,0
53288,637,312,0.0,18,18,0
16185,329,114,0.0,33,33,0
66244,263,108,0.0,32,32,0
43969,831,579,27.0,1,1,2
46390,797,611,0.0,63,63,0
46928,791,537,2.0,24,24,0
19352,383,160,0.0,33,33,0
48177,741,485,0.0,34,34,0
64201,352,811,0.0,25,25,0
21413,448,84,0.0,30,30,0
6925,293,108,0.0,25,25,0
46382,797,518,0.0,41,41,0
43282,835,626,0.0,46,46,0
44891,811,613,0.0,58,58,0
16274,332,123,27.0,4,4,1
22521,479,204,0.0,34,34,0
53534,667,358,4.0,3,3,0
17452,315,143,0.0,37,37,0
10920,218,76,0.0,21,21,0
10506,252,49,15.0,7,7,0
22910,488,197,0.0,19,19,0
54304,631,182,0.0,23,23,0
68106,948,4,0.0,21,21,0
62251,761,418,4.0,12,12,0
48855,695,396,3.0,10,10,0
18074,14,20,59.0,3,3,2
49946,751,439,0.0,40,40,0
6909,293,88,0.0,14,14,0
56779,568,197,0.0,18,18,0
22019,465,187,22.0,6,6,1
21879,462,181,0.0,24,24,0
51519,800,612,0.0,24,24,0
17360,313,77,19.0,5,5,0
18031,12,12,0.0,20,20,0
54408,645,339,0.0,26,26,0
66126,260,101,0.0,25,25,0
12907,57,11,0.0,21,21,0
19144,377,159,0.0,24,24,0
20981,435,84,0.0,21,21,0
62158,760,356,27.0,1,1,2
57215,529,230,0.0,22,22,0
18,19,15,5.0,8,8,0
7041,298,88,0.0,17,17,0
59251,508,119,7.0,8,8,0
49299,771,564,0.0,27,27,0
1455,83,31,34.0,5,5,1
11968,134,11,0.0,21,21,0
22238,472,177,14.0,4,4,0
22467,478,206,7.0,14,14,0
46686,788,579,14.5,2,2,1
54448,647,362,0.0,22,22,0
13650,38,8,22.0,2,2,1
50219,754,530,0.0,62,62,0
53887,677,343,0.0,37,37,0
51134,702,289,17.0,2,2,1
54047,624,314,2.0,14,14,0
21386,447,191,0.0,32,32,0
49253,770,482,0.0,20,20,0
16320,333,105,0.0,22,22,0
67732,955,1,117.0,2,2,2
9564,282,91,1.0,18,18,0
64736,853,812,0.0,28,28,0
17153,307,103,0.0,30,30,0
12147,110,52,0.0,16,16,0
11925,132,49,2.0,15,15,0
18132,15,69,0.0,22,22,0
21545,451,105,30.5,4,4,1
50247,754,491,0.0,77,77,0
53890,678,373,9.0,11,11,1
55822,602,219,0.0,52,52,0
50253,755,475,19.0,3,3,2
6829,291,81,0.0,13,13,0
59026,501,200,1.0,16,16,0
4298,191,71,0.0,8,8,0
18066,14,4,26.0,8,8,0
