raceid,driverid,lap,position,time,milliseconds
141,49,24,11,1:31.907,91907
850,814,19,13,1:39.939,99939
346,1,21,2,1:36.084,96084
355,32,46,20,1:47.665,107665
948,18,25,12,1:34.293,94293
855,5,22,17,1:44.633,104633
981,8,38,4,1:25.696,85696
178,23,13,19,1:28.496,88496
841,153,18,16,1:42.519,102519
930,13,48,6,1:49.611,109611
958,8,3,13,1:28.437,88437
954,8,60,6,1:17.364,77364
953,18,12,13,1:42.491,102491
194,63,27,10,1:34.098,94098
905,825,67,6,1:22.143,82143
162,23,47,4,1:27.210,87210
165,30,68,1,1:41.072,101072
177,30,18,2,1:30.183,90183
131,62,4,21,1:22.594,82594
14,4,32,4,1:49.315,109315
855,16,26,11,1:57.835,117835
193,71,61,9,1:30.012,90012
933,822,56,5,1:12.304,72304
354,24,3,16,1:20.016,80016
344,4,33,3,1:19.809,79809
188,44,45,12,1:56.847,116847
120,44,25,10,1:24.736,84736
233,22,31,5,1:32.515,92515
849,4,42,1,1:35.334,95334
106,4,3,10,1:36.968,96968
969,807,5,12,1:31.580,91580
149,58,3,22,1:23.978,83978
958,13,19,13,1:29.129,89129
123,2,19,13,1:36.768,96768
881,823,44,18,1:43.157,103157
972,840,13,13,1:42.086,102086
183,71,58,9,1:14.565,74565
155,4,29,14,1:30.243,90243
975,839,32,5,1:33.602,93602
182,70,52,10,1:31.001,91001
945,3,3,1,1:46.942,106942
341,807,4,13,1:30.219,90219
897,817,10,16,1:48.730,108730
225,14,3,9,1:46.131,106131
915,821,30,9,1:44.923,104923
347,3,43,9,1:18.244,78244
348,18,61,8,1:24.205,84205
173,23,23,5,1:40.900,100900
29,9,52,3,1:39.760,99760
67,37,9,8,1:24.113,84113
933,817,51,11,1:36.222,96222
977,825,6,11,1:11.574,71574
150,54,64,10,1:18.859,78859
192,64,2,21,1:26.779,86779
95,22,14,6,1:16.935,76935
217,65,19,5,1:21.178,81178
35,9,53,15,1:15.311,75311
180,57,3,2,1:23.605,83605
966,822,69,8,1:24.224,84224
954,821,45,14,1:17.951,77951
968,817,21,5,1:47.351,107351
39,4,19,3,1:26.436,86436
46,17,34,7,1:21.777,81777
65,13,55,9,1:27.573,87573
864,817,53,13,1:30.526,90526
100,13,42,9,1:30.953,90953
35,21,17,5,1:16.905,76905
907,1,64,2,1:12.471,72471
51,1,26,1,1:46.098,106098
858,13,32,4,1:47.054,107054
905,1,2,2,2:03.482,123482
62,14,2,10,2:02.019,122019
218,63,6,18,2:21.358,141358
239,83,32,15,1:50.969,110969
213,55,48,4,1:24.255,84255
166,14,62,1,1:21.038,81038
215,65,5,5,1:28.973,88973
943,822,50,4,1:22.829,82829
875,5,32,16,1:47.415,107415
873,13,29,17,1:54.802,114802
15,22,32,6,1:34.188,94188
