supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотт Купер,Руководитель покупок,"Гилберт-стрит, 49",Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Новые Орлеанские каджунские изыски,Шелли Бёрк,Администратор заказов,Пошточный ящик 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,# CAJUN.HTМ #
3,Домик бабушки Келли,Регина Мёрфи,Продавец,707 Оксфорд-роуд.,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токио Трейдеры,Йоши Нагаси,Менеджер по маркетингу,"9-8 Сэкимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Вале Сааведра,Администратор экспорта,"Улица Розала, 4",Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинговый представитель,"92 Сецуко
Центральный район",Осака,,545,Япония,(06) 431-7877,,Майуми (в Интернете)
7,"Павлова, ООО",Иэн Девлинг,Менеджер по маркетингу,"74 улица Розы
Мунни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные печенья, Лтд.",Питер Уилсон,Продавец,29 Кинг-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Кнеберд АБ,Ларс Петерсон,Продавец,"Калоадагатан, 13",Гётеборг,,S-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Refрескос Американас ЛТД,Карлос Диас,Менеджер по маркетингу,"Аvenue Америки, 12 890",Сан-Паулу,,5442,Бразилия,(11) 555-46-40,,
11,Гельди Сварен ГмбХ & Ко. КГ,Петра Винтерер,Менеджер по продажам,"Тиргартенштрассе, 5",Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Продовольственные Супермаркеты ООО,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, дом 51",Франкфурт,,60439,Германия,(069) 992-75-55,,Плуцер
13,Северо-Восточная торговая компания GmbH,Свен Петерсен,Координатор иностранных рынков,Фрахмреддер 112а,Куксхавен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,Формаджи Фортини срл,Элио Росси,Продавец,"Вале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 60-60-3,#Формагги.ХТМ#
15,Норские Мейериер,Беате Вилеид,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953010,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный представитель счета,Аvenue 3400 - 8-й,Крюк,О'Р,97101,США,(503) 555-9931,,
17,Свенск Сйфда АБ,Майкл Бьёрн,Продавец,Броваллавген 231,Стокгольм,,S-123/45,Швеция,08-123 45 67,,
18,"Приветствую вас, дорогие эклесиасты!",Гайлен Нодьер,Менеджер по продажам,"203, улица Франш-Бургиньон",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Консерваная фабрика морепродуктов Новой Англии,Робб Мерчант,Дистрибьюторский агент по счетам,"Отдел обработки заказов
2100 بول Ревир Блюз.",Бостон,М,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серангун Лоу, № 402",Сингапур,,0512,Сингапур,555-8787,,
21,Лынгбьесилд,Нильс Петерсен,Менеджер по продажам,"Лингбюсилд
Фишебаккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Зaanse Снёпфмицхт,Дирк Люхте,Менеджер бухгалтерского учета,"Продажа
Райнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 1212,(12345) 12-10,
23,"Компания ""Каркки Оы""",Анна Хеикконен,Продукт-менеджер,"улица Валтакатου, дом 12",Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,"Добрый день, друг!",Венди Маккензи,Продавец,170 Принц-Эдвард-Парад,Сидней,Новый Южный Уэльс,2042,Австралия,(02) 555-5914,(02) 555-4873,"Привет, друг! (на Всемирной паутине)"
25,Моя дом,Жан-Гийом Лозон,Менеджер по маркетингу,Улица Сент-Лоран 2960,Монреаль,Квебек,Х1Джей 1С3,Канада,(514) 555-9022,,
26,Паста Баттини СРЛ,Джованни Джудичи,Администратор заказов,"Вия де Джелсмони, 153",Салерно,,84100,Италия,(089) 654-7665,(089) 65-47-66-7,
27,Узорные улитки Новые,Мари Деламар,Менеджер по продажам,"22, улица Х. Вьёрон",Монто́,,71300,Франция,85.57.00.07,,
28,Гай-птураге,Элиане Ноз,Продавец,"Бат. Б
3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблы,Шанталь Гюле,Менеджер бухгалтерского учета,"улица Охотника, 148",Шантийен,Квебек,"Это не текст на английском или русском языке, поэтому я не могу его перевести. Пожалуйста, предоставьте текст для перевода.",Канада,(514) 555-2955,(514) 555-2921,
