country_id,country,last_update
3,American Samoa,2006-02-15T03:44:00
15,Brazil,2006-02-15T03:44:00
17,Bulgaria,2006-02-15T03:44:00
19,Cameroon,2006-02-15T03:44:00
22,Chile,2006-02-15T03:44:00
27,Dominican Republic,2006-02-15T03:44:00
30,Estonia,2006-02-15T03:44:00
34,France,2006-02-15T03:44:00
36,French Polynesia,2006-02-15T03:44:00
39,Greece,2006-02-15T03:44:00
40,Greenland,2006-02-15T03:44:00
42,Hong Kong,2006-02-15T03:44:00
45,Indonesia,2006-02-15T03:44:00
46,Iran,2006-02-15T03:44:00
47,Iraq,2006-02-15T03:44:00
51,Kazakstan,2006-02-15T03:44:00
52,Kenya,2006-02-15T03:44:00
53,Kuwait,2006-02-15T03:44:00
56,Lithuania,2006-02-15T03:44:00
57,Madagascar,2006-02-15T03:44:00
59,Malaysia,2006-02-15T03:44:00
62,Morocco,2006-02-15T03:44:00
65,Nauru,2006-02-15T03:44:00
69,Nigeria,2006-02-15T03:44:00
73,Paraguay,2006-02-15T03:44:00
74,Peru,2006-02-15T03:44:00
75,Philippines,2006-02-15T03:44:00
78,Romania,2006-02-15T03:44:00
86,South Korea,2006-02-15T03:44:00
89,Sudan,2006-02-15T03:44:00
93,Tanzania,2006-02-15T03:44:00
98,Turkmenistan,2006-02-15T03:44:00
100,Ukraine,2006-02-15T03:44:00
101,United Arab Emirates,2006-02-15T03:44:00
103,United States,2006-02-15T03:44:00
104,Venezuela,2006-02-15T03:44:00
109,Zambia,2006-02-15T03:44:00
