playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
hillgr01,Грант,Грант,Henry,Холм,,,,,F,0.0,0.0,80.0,225.0,Дюк,,1972-10-05,Даллас,TX,США,Южные озера,Восстановить,VA,США,0000-00-00,B
harknje01,Джерри,Реалд,B.,Харкнесс,,,,Джерри,G,0.0,0.0,74.0,175.0,Лойола (ИЛ),,1940-05-07,Нью-Йорк,Нью-Йорк,США,ДеВитт Клинтон,Бронкс,Нью-Йорк,США,0000-00-00,B
cominji01,,Джим,,Комински,,,,Джимми,G,0.0,0.0,74.0,185.0,Де Поль,,0000-00-00,,,,,,,,0000-00-00,W
fosteji01,Джимми,Джеймс,V.,Фостер,,,,"Джимми, Джим.",G,0.0,0.0,73.0,175.0,Коннектикут,Беккер Дж.К.,1951-12-16,Город Джерси,NJ,США,,,,,0000-00-00,B
archige01,,Джеральд,Bruce,Арчибальд,,,,Джерри,G,0.0,0.0,72.0,170.0,нет,,1907-08-22,,,,,,,,1990-11-25,W
palazto01,Того,Того,Anthony,Палацци,,,,,Ф-Г,0.0,0.0,76.0,205.0,Святой Крест,,1932-08-08,Юнион Хилл,NJ,США,Юнион Хилл,Союзный город,NJ,США,0000-00-00,W
garneke01,Кевин,Кевин,Maurice,Гарнетт,,,,"К.Г., Большой билет",F,0.0,0.0,83.0,220.0,нет,,1976-05-19,Маулдин,ПК,США,Академия им. Маулдина/Фарагута,Малдин/Чикаго,СК/ИЛ,США,0000-00-00,B
fritste01,,Теодор,Edward,Фрич,,,,Тед,G,0.0,0.0,70.0,210.0,Висконсин-Стивенс Пт.,Висконсин,1920-10-31,Спенсер,ЖИ,США,Спенсер,Спенсер,ЖИ,США,1979-10-04,W
blairde01,Дежун,Дежун,Lamont,Блэр,,,,,F,0.0,0.0,79.0,265.0,Питтсбург,,1989-04-22,Питтсбург,ПА,США,Шенли,Питтсбург,ПА,США,0000-00-00,B
gunthco01,Коулби,Коулби,,Гантер,,,,,F,0.0,0.0,76.0,190.0,Сент-Джонс (НЙ),Бостонский колледж/ЛЮ,1923-02-05,Нью-Йорк,Нью-Йорк,США,Южный Сайд,Центр Rockville,Нью-Йорк,США,2005-07-14,W
landsma01,Марк,Марк,Walter,Ландсбергер,,,,,Ф-С,0.0,0.0,80.0,215.0,Государство Аризона,Аллан Хэнкок/Миннесота,1955-05-21,Мино,ND,США,Вид мундов,Сент-Пол,МН,США,0000-00-00,W
ivoryel01,Элвин,Элвин,Dennis,Слоновая кость,,,,Маленький Е,F,0.0,0.0,79.5,210.0,Юго-западная Луизиана,,1948-07-02,Бирмингем,AL,США,К.В. Хейс,Бирмингем,AL,США,0000-00-00,B
bookebu01,Бутч,Гарольд,,Букер,,,,"Хэл, Бутч",C,0.0,0.0,82.0,230.0,Шейнейское государство,,1945-07-20,,,,Колвин,Дарби,ПА,США,0000-00-00,B
grafffr01,,Фред,,Граффт,,,,,G,0.0,0.0,69.0,0.0,Школа бизнеса Галлагера,,0000-00-00,,,,,,,,0000-00-00,W
farrobi01,,Билл,,Площадь,,,,,C,0.0,0.0,76.0,198.0,Государство Кентукки,Уилсон Дж.К.,0000-00-00,,,,,,,,0000-00-00,B
churcro01,Роберт,Роберт,,Червелл,,,,,G-F,0.0,0.0,78.0,195.0,Джорджтаун,,1972-02-20,Южное изгиб,ВНУТРЕННИЕ,США,Гонзага,Вашингтон,РС,США,0000-00-00,B
beckemo01,Мо,Моррис,R.,Бекер,,,,Мо,G-F,0.0,0.0,73.0,185.0,Дюкесне,,1917-02-24,,,,Пятая авеню,Питтсбург,ПА,США,1996-01-09,W
oliveji01,Джимми,Джимми,Allen,Оливер,,,,,G-F,0.0,0.0,77.0,205.0,Задолженность,,1969-07-12,Менифе,ОАР,США,Моррилтон,Моррилтон,ОАР,США,0000-00-00,B
mahonmo01,Мо,Фрэнсис,H.,Махони,,,,"Мо, Фрэн",F,0.0,0.0,74.0,205.0,Коричневый,,1927-11-20,Бруклин,Нью-Йорк,США,,,,,2008-04-29,W
williwa02,Уолт,Уолтер,Ander,Уильямс,,,,"Уолт, Волшебник",Ф-Г,0.0,0.0,80.0,219.0,Мэриленд,,1970-04-16,Вашингтон,РС,США,Кроссленд,Храмовые холмы,MD,США,0000-00-00,B
knorele01,Ли,Леонард,J.,Норек,,,,Ли,C,0.0,0.0,79.0,215.0,Детройт,DeSales/Denison,1921-07-15,Россфорд,Ооо.,США,Россфорд / Толедо Кент.,Россфорд/Толедо,Ооо.,США,2003-07-22,W
wrighbi01,,Билл,,Райт,,,,,F,0.0,0.0,74.0,185.0,Теннесси,Дюк,0000-00-00,,,,Ноксвилль-Сити,Ноксвилль,TN,США,0000-00-00,W
ruddde01,Дилейни,Эдвард,Delaney,Рудд,,,,Дилейни,G,0.0,0.0,74.0,180.0,Уэйк Форест,,1962-11-08,Галифакс,НС,США,Истман,Холлистер,НС,США,0000-00-00,B
jamerda01,Дэйв,Джон,David,Джамерсон,,,,Дэйв,G-F,0.0,0.0,77.0,190.0,Университет Огайо,,1967-08-13,Кларксбург,WV,США,Стоу,Стоу,Ооо.,США,0000-00-00,W
hendecu01,,Курт,,Хендерсон,,,,,G,0.0,0.0,68.0,150.0,Южный Иллинойс,,0000-00-00,,,,,,,,0000-00-00,W
hendeje01,Иероним,Иероним,D.,Хендерсон,,,,,С-Ф,0.0,0.0,83.0,230.0,Новая Мексика,Вабашская долина,1959-10-05,Лос-Анджелес,КА,США,Джефферсон,Лос-Анджелес,КА,США,0000-00-00,B
greerly01,Линн,Линн,,Грир,,,,,G,0.0,0.0,74.0,175.0,Храм,,1979-10-23,Филадельфия,ПА,США,Инжиниринг и наука Филадельфии,Филадельфия,ПА,США,0000-00-00,B
wrighlu01,Лютер,Лютер,A.,Райт,,,Младший.,Лу Би,C,0.0,0.0,86.0,270.0,Сетон-холл,,1971-09-22,Город Джерси,NJ,США,Сент-Антони / Елизавета,Джерси-Сити/Элизабет,NJ,США,0000-00-00,B
smithto02,Тони,Чарльз,Anton,Смит,,,,Тони,G,0.0,0.0,75.0,185.0,Маркетт,,1968-06-14,Вауватоса,ЖИ,США,Восточный,Вауватоса,ЖИ,США,0000-00-00,B
darroji01,Джимми,Джеймс,K.,Дэрроу,,,,Джимми,G,0.0,0.0,70.0,170.0,Зеленый боулинг,,1937-09-25,Акрон,Ооо.,США,Южный Акрон,Акрон,Ооо.,США,1987-06-08,W
wisbaed01,,Эдвард,,Висбар,,,,Эдди,C,0.0,0.0,78.0,200.0,нет,,1916-05-03,ht) Детройт,МИ,США,Дюкесне,Дюкесне,ПА,США,0000-00-00,W
willich03,Чаки,Чарльз,Leon,Уильямс,,,,Чаки,G,0.0,0.0,75.0,180.0,Государство Канзас,,1953-12-31,Колумб,Ооо.,США,Восточный,Колумб,Ооо.,США,0000-00-00,B
knighro01,Рон,Рональд,Eugene,Рыцарь,,,,Рон,F,0.0,0.0,79.0,210.0,Лос-Анджелес,,1947-08-04,,,,Комптон,Комптон,КА,США,0000-00-00,B
willige01,Джин,Юджин,,Уильямс,,,,Джин,F,0.0,0.0,79.0,235.0,Государство Канзас,Сан-Франциско,1947-04-01,Сан-Франциско,КА,США,Галилео,Сан-Франциско,КА,США,0000-00-00,B
masonjo01,,Джоэл,Gregory,Мейсон,,Джоэл Грегори Мулески,,,G,0.0,0.0,72.0,195.0,Западный Мичиган,Техас,1912-03-12,Железная река,МИ,США,Стамбау,Стамбау,МИ,США,1995-10-31,W
hoodde01,Дерек,Дерек,Dwayne,Гуд,,,,,F,0.0,0.0,80.0,222.0,Арканзас,,1976-12-22,Декатура,Ил,США,Центральный,Канзас-Сити,МО,США,0000-00-00,B
mensapo01,Папаши,Нана,Papa Yaw,Менса-Бонсу,,,,Папаши,F,0.0,0.0,81.0,240.0,Джордж Вашингтон,,1983-09-07,Лондон,,ЭГ,Подготовительная подготовка в Сент-Августине,Ричленд,NJ,США,0000-00-00,B
