name,id,award,year,lgid,note
Al Arbour,arboual01,Patrick,1991,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Jim Devellano,,Patrick,2008,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Walter Bush,bushwa01h,Patrick,1972,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Bill Cleary,,Patrick,1996,NHL,
Lou Vairo,,Patrick,1999,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Neal Broten,brotene01,Patrick,1997,NHL,
Fred Cusick,,Patrick,1987,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Gary Bettman,,Patrick,2000,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Stan Fischler,,Patrick,2006,NHL,
Ray Miron,,Patrick,2003,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
George Leader,,Patrick,1975,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Bob Naegele,,Patrick,2007,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Mike Emrick,,Patrick,2003,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Len Ceglarski,,Patrick,1989,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Art Berglund,,Patrick,1991,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Donald Clark,,Patrick,1974,NHL,
Robert Ridder,,Patrick,1993,NHL,
Jerry York,,Patrick,2009,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
David Poile,,Patrick,2000,NHL,
Brian Burke,,Patrick,2007,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Tony Rossi,,Patrick,2010,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
