playerid,year,stint,tmid,s,g,gdg
rozsimi01,2007,1,NYR,1,0,0
gagnesa01,2007,1,EDM,17,5,4
bochebr01,2009,1,TBL,1,0,0
pyattta01,2008,1,VAN,2,0,0
schnema01,2007,1,AND,3,2,2
stastpa01,2007,1,COL,1,0,0
chriser01,2006,1,PIT,14,8,3
horcosh01,2005,1,EDM,1,0,0
eliaspa01,2008,1,NJD,7,3,1
landega01,2011,1,COL,1,2,1
purcete01,2010,1,TBL,4,0,0
lecavvi01,2010,1,TBL,5,0,0
pominja01,2005,1,BUF,2,0,0
richabr02,2009,1,LAK,1,0,0
johnsja02,2008,1,LAK,6,3,1
yorkmi01,2007,1,PHO,1,1,0
thornjo01,2005,1,BOS,2,1,0
eberljo01,2011,1,EDM,3,12,0
arnotja01,2008,1,NAS,1,1,1
chriser01,2011,2,MIN,5,9,2
vrbatra01,2005,1,CAR,2,1,1
dawesni01,2009,1,CAL,8,3,0
keslery01,2007,1,VAN,9,1,0
miettan01,2010,1,MIN,4,0,0
dupuipa01,2011,1,PIT,1,3,1
lemiema01,2005,1,PIT,3,0,0
zubovse01,2005,1,DAL,12,7,4
nummepe01,2006,1,MIN,7,6,1
tambeje01,2006,1,NYI,1,0,0
blakeja01,2005,1,NYI,5,2,1
bergese01,2010,1,TBL,2,0,0
plekato01,2011,1,MTL,1,5,1
goligal01,2009,1,PIT,1,0,0
fritsda01,2005,1,CBS,1,0,0
jokinol01,2009,2,NYR,1,0,0
littlbr01,2010,1,ATL,10,3,0
antroni01,2009,1,ATL,2,0,0
conrocr01,2005,1,LAK,1,0,0
drapekr01,2009,1,DET,1,0,0
horcosh01,2011,1,EDM,1,3,0
daiglal02,2005,1,MIN,1,0,0
oreilca01,2010,1,NAS,6,3,1
ovechal01,2011,1,WAS,3,8,0
staffdr01,2010,1,BUF,3,1,0
hossama02,2006,1,NYR,4,3,3
oreilry01,2011,1,COL,2,5,2
daugaka01,2011,1,OTT,0,1,0
muellpe01,2008,1,PHO,6,3,0
arkhide01,2006,1,CHI,2,0,0
galiatj01,2009,1,COL,2,0,0
perryco01,2008,1,AND,10,5,2
yipbr01,2010,1,COL,1,1,1
rucinma01,2006,1,STL,6,2,1
gordobo01,2008,1,WAS,1,0,0
jokinol01,2008,2,CAL,1,1,1
kozlovi01,2005,1,NJD,12,8,5
samsose01,2005,2,EDM,3,2,1
latengu01,2009,2,MIN,5,1,1
kunitch01,2009,1,PIT,2,1,1
simmowa01,2009,1,LAK,3,1,0
cartery01,2008,1,AND,1,0,0
brierda01,2011,1,PHI,2,7,0
kesseph01,2008,1,BOS,8,1,0
hilbean01,2005,2,PIT,1,0,0
bernist01,2010,1,FLO,1,1,1
dumonjp01,2006,1,NAS,3,1,1
fleisto01,2005,1,WAS,2,0,0
reinpst01,2008,1,PHO,3,2,0
korpila01,2011,1,PHO,0,2,0
dupuipa01,2010,1,PIT,4,1,1
tangual01,2010,1,CAL,16,10,4
gomezsc01,2011,1,MTL,0,1,0
seminal01,2011,1,WAS,3,6,0
staaler01,2010,1,CAR,1,0,0
hechtjo01,2010,1,BUF,1,1,1
averyse01,2007,1,NYR,1,0,0
radulal01,2007,1,NAS,8,1,1
suttebr03,2011,1,CAR,0,1,0
thornjo01,2006,1,SJS,1,0,0
bradlma01,2005,1,WAS,1,0,0
palffzi01,2005,1,PIT,2,0,0
comeabl01,2007,1,NYI,2,1,0
lindrer01,2005,1,TOR,3,1,1
gagnesa01,2008,1,EDM,8,3,1
hagmani01,2008,1,TOR,5,1,1
stemple01,2008,2,TOR,5,1,0
tangual01,2007,1,CAL,2,0,0
giontbr01,2010,1,MTL,6,1,1
handzmi01,2005,1,PHI,4,2,1
verstkr01,2010,1,TOR,3,1,0
recchma01,2007,1,PIT,1,0,0
tangual01,2006,1,CAL,7,3,2
fleisto01,2011,1,FLO,0,4,0
stewach02,2009,1,COL,7,3,3
spezzja01,2010,1,OTT,5,1,1
eratma01,2007,1,NAS,5,2,2
visnolu01,2009,1,EDM,1,1,1
bradlma01,2009,1,WAS,2,0,0
willija01,2007,1,CHI,1,0,0
goligal01,2010,1,PIT,1,0,0
samsose01,2008,1,CAR,3,1,1
zidlima01,2006,1,NAS,1,0,0
poulima01,2009,1,EDM,2,0,0
pohljo01,2007,1,TOR,1,0,0
koivumi01,2009,1,MIN,12,5,2
bergepa01,2007,1,BOS,1,0,0
bouchpi02,2006,1,MIN,6,1,1
zuccama01,2010,1,NYR,9,5,3
