year,lgid,tmid,oppid,w,l,t,otl
1966,NHL,NYR,BOS,8,2,4.0,
1969,NHL,LAK,BOS,0,5,1.0,
1990,NHL,TOR,CHI,1,6,1.0,
2005,NHL,OTT,SJS,0,1,,0
2009,NHL,MIN,BOS,0,0,,1
1991,NHL,CHI,MTL,1,1,0.0,
1979,NHL,BUF,MNS,2,1,1.0,
2005,NHL,ATL,DAL,1,0,,0
2010,NHL,DET,PHO,2,1,,1
2007,NHL,AND,BOS,1,0,,0
2002,NHL,STL,CBS,3,2,0.0,0
2010,NHL,DET,EDM,4,0,,0
2011,NHL,WPG,AND,1,0,,0
2003,NHL,TBL,STL,0,0,1.0,1
1981,NHL,LAK,WIN,0,3,0.0,
2000,NHL,PHO,NYI,1,0,1.0,0
2002,NHL,DET,LAK,2,1,1.0,0
1980,NHL,COR,WIN,1,2,1.0,
2010,NHL,EDM,DAL,1,3,,0
1979,NHL,CHI,PHI,0,2,2.0,
1996,NHL,VAN,FLO,0,1,1.0,
1994,NHL,PHI,WAS,3,0,1.0,
2010,NHL,FLO,CHI,1,1,,0
1990,NHL,QUE,DET,1,2,0.0,
1937,NHL,MTL,NYR,3,1,2.0,
2001,NHL,MTL,FLO,2,2,0.0,0
1984,NHL,BUF,CAL,3,0,0.0,
1974,WHA,WIJ,TOT,2,4,0.0,
1974,WHA,MIB,CHC,2,4,0.0,
1981,NHL,BOS,PIT,1,1,1.0,
1982,NHL,QUE,VAN,0,3,0.0,
1991,NHL,NJD,QUE,3,0,0.0,
2006,NHL,DET,BUF,0,0,,1
1996,NHL,FLO,WAS,1,2,2.0,
1983,NHL,EDM,VAN,6,1,1.0,
1982,NHL,NYR,LAK,1,1,1.0,
1954,NHL,CHI,MTL,0,11,3.0,
1980,NHL,WIN,WAS,0,3,1.0,
1982,NHL,NJD,DET,1,1,1.0,
2010,NHL,TOR,FLO,2,2,,0
1939,NHL,MTL,NYA,2,4,2.0,
2009,NHL,DAL,CHI,2,1,,1
2006,NHL,WAS,VAN,0,0,,1
1970,NHL,CHI,NYR,3,3,0.0,
2011,NHL,FLO,PHO,0,1,,0
1972,NHL,MNS,BUF,2,3,0.0,
2009,NHL,PIT,OTT,2,2,,0
1988,NHL,HAR,CHI,2,1,0.0,
1998,NHL,FLO,TOR,1,2,1.0,
2005,NHL,WAS,STL,1,0,,0
1914,PCHA,PO1,VML,3,6,0.0,
1927,NHL,TOR,DTC,2,2,0.0,
2000,NHL,TOR,PIT,2,1,0.0,0
1994,NHL,CHI,EDM,4,0,0.0,
1979,NHL,NYI,BOS,1,3,0.0,
2010,NHL,NYI,DAL,0,0,,1
1978,WHA,QUN,CZE,1,0,0.0,
2008,NHL,COL,STL,1,3,,0
1923,PCHA,VAM,CAT,2,2,0.0,
2007,NHL,BOS,AND,0,1,,0
2002,NHL,PHI,NJD,1,2,1.0,1
1978,NHL,MTL,ATF,3,1,0.0,
1975,NHL,CLF,MNS,3,1,0.0,
1934,NHL,MTM,CHI,3,3,0.0,
1971,NHL,BUF,CLF,0,3,3.0,
2006,NHL,WAS,TOR,2,2,,0
2003,NHL,TBL,BOS,2,1,1.0,0
2009,NHL,DET,NYR,1,0,,0
1996,NHL,CAL,CHI,1,3,0.0,
1927,NHL,DTC,CHI,3,2,1.0,
1960,NHL,NYR,CHI,4,7,3.0,
2006,NHL,BUF,ATL,2,0,,2
1976,WHA,HOU,EDO,7,1,1.0,
2000,NHL,NYI,TOR,1,3,0.0,0
1991,NHL,BOS,CHI,1,2,0.0,
2008,NHL,CAR,TOR,3,1,,0
1998,NHL,CAR,OTT,1,1,2.0,
2001,NHL,NAS,TBL,0,2,0.0,0
2002,NHL,DAL,ATL,2,0,0.0,0
1937,NHL,NYA,MTM,7,1,0.0,
1994,NHL,CHI,WIN,2,3,0.0,
1978,NHL,NYR,PHI,2,3,3.0,
1977,NHL,NYI,PIT,2,1,1.0,
2002,NHL,STL,MTL,1,0,0.0,0
1949,NHL,MTL,NYR,7,5,2.0,
1997,NHL,PIT,WAS,1,1,2.0,
2005,NHL,PIT,CHI,0,1,,0
1991,NHL,WAS,VAN,1,1,1.0,
1912,NHA,TBS,MOW,2,2,0.0,
2010,NHL,SJS,NYR,0,0,,1
1923,WCHL,SAC,EDE,2,2,2.0,
2006,NHL,CAR,NYR,1,2,,1
1993,NHL,DET,FLO,2,0,0.0,
1977,WHA,HOU,IND,5,5,1.0,
1986,NHL,BUF,DET,2,0,1.0,
2006,NHL,WAS,TBL,2,4,,2
1988,NHL,HAR,PHI,1,1,1.0,
1944,NHL,DET,NYR,6,2,2.0,
