coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
conacli01c,1929,NYA,NHL,1,,44,14,25,5,,,,
keenami01c,1990,CHI,NHL,1,,80,49,23,8,6,2,4,0
martija02c,1996,OTT,NHL,1,,82,31,36,15,7,3,4,0
lalonne01c,1923,SAC,WCHL,1,,30,15,12,3,,,,
mccrebi01c,1971,STL,NHL,2,,24,6,14,4,,,,
laviope01c,2008,CAR,NHL,1,,25,12,11,2,,,,
hitchke01c,2006,CBS,NHL,3,,62,28,29,5,,,,
lalonne01c,1921,MTL,NHL,1,,7,2,5,0,,,,
greenpe01c,1922,OTS,NHL,1,,24,14,9,1,8,6,2,0
sutteda01c,2002,CAL,NHL,3,,46,19,19,8,,,,
francem01c,1981,STL,NHL,2,,12,4,6,2,10,5,5,0
shawbr02c,1974,EDO,WHA,1,,59,30,26,3,,,,
berrybo01c,1982,MTL,NHL,1,,80,42,24,14,3,0,3,0
keenami01c,1991,CHI,NHL,1,,80,36,29,15,18,12,6,0
duttore01c,1935,NYA,NHL,1,,48,16,25,7,5,2,3,0
gerared01c,1925,MTM,NHL,1,,36,20,11,5,8,5,1,2
adamsja01c,1944,DET,NHL,1,,50,31,14,5,14,7,7,0
murraan01c,2003,LAK,NHL,1,,82,28,38,16,,,,
lesuepe01c,1923,HAM,NHL,1,,10,3,7,0,,,,
therrmi01c,2005,PIT,NHL,2,,51,14,29,8,,,,
juliecl01c,2007,BOS,NHL,1,,82,41,29,12,7,3,4,0
lewisda01c,1998,DET,NHL,1,co-coach with Barry Smith,5,4,1,0,,,,
kennege01c,1915,MOC,NHA,1,,24,16,7,1,,,,
mccambo01c,1978,PHI,NHL,1,,50,22,17,11,,,,
suttebr02c,2011,CAL,NHL,1,,82,37,29,16,,,,
grahadi01c,1998,CHI,NHL,1,,59,16,35,8,,,,
bowmasc01c,1995,DET,NHL,1,,82,62,13,7,19,10,9,0
skinnji01c,1956,DET,NHL,1,,70,38,20,12,5,1,4,0
robinla01c,2005,NJD,NHL,1,,32,14,13,5,,,,
drakecl01c,1975,EDO,WHA,1,,48,18,28,2,,,,
perrydo01c,1982,LAK,NHL,1,,80,27,41,12,,,,
satorte01c,1987,BUF,NHL,1,,80,37,32,11,6,2,4,0
dayha01c,1949,TOR,NHL,1,,70,31,27,12,7,3,4,0
gainebo01c,1993,DAL,NHL,1,,84,42,29,13,9,5,4,0
mclelto01c,2008,SJS,NHL,1,,82,53,18,11,6,2,4,0
kellyre01c,1967,LAK,NHL,1,,74,31,33,10,7,3,4,0
boudrbr01c,2009,WAS,NHL,1,,82,54,15,13,7,3,4,0
babcomi01c,2009,DET,NHL,1,,82,44,24,14,12,5,7,0
garvite01c,1973,DET,NHL,1,,11,2,8,1,,,,
kinasra01c,1972,ALB,WHA,1,,78,38,37,3,,,,
hitchke01c,1995,DAL,NHL,2,,43,15,23,5,,,,
irvindi01c,1942,MTL,NHL,1,,50,19,19,12,5,1,4,0
boondi01c,1916,MOW,NHA,1,,20,5,15,0,,,,
reaybi01c,1970,CHI,NHL,1,,78,49,20,9,18,11,7,0
bowmasc01c,1983,BUF,NHL,1,,80,48,25,7,3,0,3,0
imlacpu01c,1968,TOR,NHL,1,,76,35,26,15,4,0,4,0
macneal01c,2002,CAL,NHL,2,,11,4,5,2,,,,
lewisda01c,2002,DET,NHL,1,,82,48,24,10,4,0,4,0
mactacr01c,2002,EDM,NHL,1,,82,36,35,11,6,2,4,0
mclelto01c,2010,SJS,NHL,1,,82,48,25,9,18,9,9,0
macledo02c,2002,CBS,NHL,2,,42,15,23,4,,,,
mauripa01c,2001,CAR,NHL,1,,82,35,31,16,23,13,10,0
demerja01c,1985,STL,NHL,1,,80,37,34,9,19,10,9,0
bylsmda01c,2008,PIT,NHL,2,,25,18,3,4,24,16,8,0
muldope01c,1923,SEA,PCHA,1,,30,14,16,0,2,0,1,1
dayha01c,1943,TOR,NHL,1,,50,23,23,4,5,1,4,0
patrile01c,1923,VC1,PCHA,1,,30,11,18,1,,,,
tortojo01c,2000,TBL,NHL,2,,43,12,30,1,,,,
tippeda01c,2002,DAL,NHL,1,,82,46,21,15,12,6,6,0
crawfma01c,2001,VAN,NHL,1,,82,42,33,7,6,2,4,0
delveal01c,1973,DET,NHL,2,,67,27,31,9,,,,
