film_id,title,description
16,ЭЛЕВАТОРНОЙ Эволюция,"""Быстрый драматический фильм о роботе и композиторе, которые должны сражаться с астронавтом в Новом Орлеане"""
20,АМЕЛИЯ ХЕЛФИГХТЕР,"Тяжелая драма о женщине и белке, которые должны победить студента в шарике."
31,АПАЧЕ БОГОБЫТНЫЙ,"Аволожный отпечаток выпечного повара и учителя, который должен победить сумоистa в подводной лодке"
34,Догма Арабии,"Убедительное письмо от сумасшедшего человека и сумасшедшей коровы, которые должны победить студента в Нигерии."
39,АРМЕГЕДДОН УТΡЕНУЛ,"Срочная история о лодке и учителе, которые должны подчиняться композитору в заброшенном шахте"
45,Привлечение Ньютона,"А потрясающий панорама композитора и фрисби, которые должны достичь мужа в ancient Японии"
63,Обдолбанный женатый,"А поразительный характерный портрет сумасшедшего и робота, который должен встретиться с безумным ученым в заброшенном karnavalе"
82,Кровавые арго-науты,"Утомительная драма о исследователе и человеке, которому приходится убить лесоруба в пентхаусе в Манхэттене."
88,Рождённый Спинальный,"Дорогой,

Я пишу тебе это письмо, чтобы поделиться с тобой одним особенным опытом, который я недавно получил. Как ты знаешь, я всегда был увлечен фрисби, и недавно у меня появился шанс поиграть в него на новом уровне.

В прошлые выходные я участвовал в турнире по фрисби в Нигерии. Это было невероятное приключение, которое открыло мне новые горизонты. Я встретил там много замечательных людей, которые разделяли мою страсть к этому виду спорта.

Но то, что сделало этот опыт по-настоящему особенным, это то, что я встретил там тебя. Ты был одним из игроков в команде Нигерии, с которой я играл в полуфинале. Твоя грация и мастерство игры просто завораживали, и я сразу же почувствовал связь с тобой.

К сожалению, из-за победы в полуфинале мы не смогли сыграть друг с другом в финале, но я надеюсь, что у нас еще будет шанс. Я бы хотел продолжить нашу игру и узнать тебя лучше.

Я знаю, что это может показаться странным способом начать общение, но я надеюсь, ты поймешь мое сердце и страсть к фрисби. Если ты тоже разделяешь мою любовь к этому виду спорта, то, возможно, у нас будет шанс продолжить нашу игру и, возможно, даже найти любовь в процессе.

Я с нетерпением жду возможности снова увидеть тебя и, возможно, поиграть в фрисби вместе. Пока, мой дорогой, я отправляю тебе свои наилучшие пожелания и надежды на то, что мы сможем встретиться снова.

С теплом,
[Твой адрес]"
92,БОУФИNGЕР ГАБЛЗ,"Быстрая рассказ о официантке и композиторе, которые должны опередить дантиста в Калифорнии."
99,приведи гистерический,"Фатальная сага о акуле и техническом писателем, который должен найти женщину в лодке-пневматике."
108,Бутч Пантер,"Оттом и Феминист, администратор базы данных, должны столкнуться с охотником в Новом Орлеане."
151,Цинциннати Виспер,"Блистательная сага о кондтере и охотнике, которые должны сразиться с управляющим в Берлине"
171,Десять заповедей,"Фанатская сага о студенте и безумном учёныйe, которые должны сразиться с охотником в заброшенной шахте."
174,Конфиденциальное интервью,"Удивительное отражение кошки и женщины, которая должна найти астронавта в древней Японии"
243,ДООРЗ ПРЕВСЕТЕНДЕТ,"Удивительное представление, где белка и женщина должны победить мальчика в заливе Мексики."
246,ДУБТ-Файр Лаборатория,"Непревзойденный панорама буфета и композитора, который должен встретить сумасшедшую корову в Сахарском пустыне"
250,Драконы-командиры,"Тавтологическое отражение мальчика и официантки, которые должны опередить учителя в древнем Китае"
252,ДРЕМ-ПОЗИШЬЕ,"Экстремальный показ автомобиля и композитора, который должен преодолеть судебно-психиатрического эксперта в Мексиканском заливе"
253,ДЕЙСТВИТЕЛЬНОЕ МЕЧТЫ,"Эпическая рефлексия женщины и белки, которая должна найти мужа в лодке-переправе"
256,Водный фронт,"«Фэнтезийный документальный фильм о муже и исследователе, которые должны добраться до сумасшедшего в древнем Китае»"
275,ЕГЙПТ ТЕНЕНБЫУМС,"Бесшаблонная и захватывающая история безумного человека и тайного агента, которые должны побеждать астронавта в заброшенном парке развлечений."
292,ВЗУЧЕНИЕ ЭВЫ,"""Вуду обезьяна: Битва за крокодилячий джунгли"""
300,ФОКС-ВОЛЮМЕ,"Судьба сумоистa и охотника, которые должны спасти акулу в Новом Орлеане."
308,ФЭРРИС МАДЕР,"Трогательная демонстрация фрисби и фрисби, который должен убить девушку в Мексиканском заливе"
320,ФЛАМИНГОС Коннектикут,"Размышления о композиторе в быстром темпе и композиторе, который должен встретить кошку в Сахарe пустыне"
