country1,country2,length
RO,SRB,476.0
CZ,SK,215.0
MACX,TJ,0.34
DJI,ER,113.0
BZ,MEX,250.0
SUD,ZRE,628.0
DZ,WSA,42.0
RIM,WSA,1561.0
BEN,RT,644.0
MK,SRB,62.0
BOL,BR,3400.0
IR,IRQ,1458.0
RCA,SUD,1165.0
H,HR,329.0
AND,F,60.0
AL,GR,282.0
KOS,MNE,79.0
N,SF,729.0
Z,ZW,797.0
GE,TR,252.0
AZ,R,284.0
AZ,IR,611.0
F,I,488.0
EAT,RWA,217.0
CH,F,573.0
NOK,R,19.0
E,F,623.0
TM,UZB,1621.0
EAU,RWA,169.0
OM,SA,676.0
EW,LV,267.0
DJI,ETH,337.0
PK,TJ,523.0
LAO,VN,2130.0
H,UA,103.0
MYA,TJ,2185.0
PL,R,206.0
KGZ,UZB,1099.0
BY,LT,502.0
AZ,TR,9.0
BI,RWA,290.0
PL,UA,428.0
D,DK,68.0
CDN,USA,8893.0
KAZ,UZB,2203.0
BY,LV,141.0
A,I,430.0
KGZ,TAD,870.0
N,S,1619.0
ARM,IR,35.0
RB,ZW,813.0
BOL,RCH,861.0
CH,I,740.0
BI,ZRE,233.0
BRU,MAL,381.0
FGU,SME,510.0
A,SK,91.0
G,RCB,1903.0
RG,SN,330.0
ARM,GE,164.0
DOM,RH,275.0
RCB,ZRE,2410.0
KOS,SRB,352.0
RCA,ZRE,1577.0
