country,name,percentage
IR,Balochi,1.0
PITC,Pitkern,100.0
SRB,Roma,1.1
PNG,English,1.0
FALK,English,100.0
B,Dutch,56.0
NL,Dutch,100.0
NA,English,15.9
GUAM,Chamorro,22.2
TM,Turkmen,72.0
NOK,Korean,100.0
B,French,32.0
MOC,Portuguese,100.0
PK,Punjabi,48.0
LB,English,20.0
N,Norwegian,100.0
BG,Bulgarian,100.0
D,German,100.0
IR,Arabic,1.0
CAYM,Spanish,3.2
C,Spanish,100.0
BIH,Serbo-Croatian,99.0
E,Basque,2.0
S,Swedish,100.0
NIC,Spanish,100.0
UZB,Tajik,4.4
SRB,Hungarian,3.8
IR,Kurdish,9.0
ARM,Russian,2.0
NAM,English,7.0
MNE,Bosnian,5.5
SPMI,French,100.0
WAFU,Wallisian,58.9
CO,Spanish,100.0
CH,Italian,12.0
IS,Icelandic,100.0
UZB,Uzbek,74.3
E,Catalan,17.0
MNE,Montenegrin,22.0
AMSA,English,2.9
PA,English,14.0
AZ,Russian,3.0
HONX,Chinese,95.6
AG,English,100.0
TM,Russian,12.0
RSM,Italian,100.0
RCH,Spanish,100.0
SLB,English,1.0
UZB,Russian,14.2
NMIS,Other Pacific Island Languages,9.5
NA,Papiamento,65.4
PK,Pashtu,8.0
SRB,Serbian,88.3
PK,Hindko,2.0
B,German,1.0
R,Russian,100.0
NEP,Nepali,100.0
GUAM,Phillipine Languages,22.2
GE,Georgian,71.0
E,Galician,7.0
MK,Turkish,3.0
