river,country,province
Donau,D,Baden Wurttemberg
Elbe,CZ,Vychodocesky
Reuss,CH,UR
Thjorsa,IS,Iceland
Etsch,I,Trentino Alto Adige
Southern Morava,MK,Macedonia
Paraguay,BR,Mato Grosso
Tocantins,BR,Goias
Benue,CAM,Nord
Kwa,ZRE,Bandundu
Schatt al Arab,IRQ,Al Anbar
Volta,BF,Burkina Faso
Euphrat,TR,Malatya
Mekong,TJ,Tibet
Tigris,TR,Diyarbakir
Irawaddy,TJ,Tibet
Saluen,TJ,Tibet
Pjandsh,AFG,Afghanistan
Karasu,TR,Erzurum
Saone,F,Lorraine
Argun,TJ,Heilongjiang
Amudarja,TAD,Khatlon
Kura,TR,Kars
Drin,AL,Albania
Uruguay,BR,Rio Grande do Sul
Senegal,RG,Guinea
Joekulsa a Fjoellum,IS,Iceland
Bahr el-Djebel/Albert-Nil,EAU,Uganda
Maas,F,Champagne Ardenne
Werra,D,Thuringen
Uelle,ZRE,Haut Zaire
Raab,A,Styria
Detroit River,CDN,Ontario
Ural,R,Rep. of Bashkortostan
Ob,R,Altayskiy kray
Irtysch,KAZ,Shyghys Qazaqstan
Newa,R,Leningradskaya oblast
Enns,A,Lower Austria
Dnjestr,UA,Lvivska
Colorado,USA,Colorado
White Drin,KOS,Kosovo
Oulujoki,SF,Oulu
Kolyma,R,Magadanskaya oblast
Rio Magdalena,CO,Huila
Limmat,CH,ZH
Rio Sao Francisco,BR,Minas Gerais
Busira,ZRE,Equateur
Rio Desaguadero,BOL,Bolivia
Pruth,UA,Ivano Frankivska
Karun,IR,Esfahan
Jenissej,R,Rep. of Tyva
Arno,I,Toscana
Rio San Juan,NIC,Nicaragua
Bomu,ZRE,Haut Zaire
Rhein,CH,GR
Nile,SUD,al Khartum
Niagara River,USA,New York
Mississippi,USA,Minnesota
Lukenie,ZRE,Kasai Oriental
