city,province,country,river,lake,sea
Kremenchuk,Poltavska,UA,Dnepr,,
Boulogne Billancourt,Ile de France,F,Seine,,
Bratsk,Irkutskaya oblast,R,Angara,,
Tallinn,Estonia,EW,,,Baltic Sea
Reggio di Calabria,Calabria,I,,,Mediterranean Sea
Belgrade,Serbia,SRB,Save,,
Vasteras,Vastmanland,S,,Maelaren,
Boston,Massachusetts,USA,,,Atlantic Ocean
Stavanger,Rogaland,N,,,North Sea
Noumea,New Caledonia,NCA,,,Pacific Ocean
Charlottetown,Prince Edward Island,CDN,,,Atlantic Ocean
Szeged,Szeged (munic.),H,Theiss,,
Long Xuyen,Vietnam,VN,Mekong,,
Chilung,Taiwan,RC,,,East China Sea
Castries,Saint Lucia,WL,,,Caribbean Sea
Petropavl,Soltustik Qazaqstan,KAZ,Ischim,,
Aden,Yemen,YE,,,Gulf of Aden
Hamhung Hungnam,North Korea,NOK,,,Sea of Japan
Khartoum North,al Khartum,SUD,Nile,,
Pangkal Pinang,Indonesia,RI,,,South China Sea
Semey,Semey,KAZ,Irtysch,,
Lanzhou,Gansu,TJ,Hwangho,,
Salzburg,Salzburg,A,Salzach,,
Tromsoe,Troms,N,,,Norwegian Sea
Sao Luis,Maranhao,BR,,,Atlantic Ocean
Montreal,Quebec,CDN,Saint Lawrence River,,
Ulm,Baden Wurttemberg,D,Iller,,
Okayama,Okayama,J,,,Pacific Ocean
Wuhu,Anhui,TJ,Jangtse,,
Tunis,Tunisia,TN,,,Mediterranean Sea
Kostroma,Kostromskaya oblast,R,Volga,,
Rimini,Emilia Romagna,I,,,Mediterranean Sea
Moroni,Comoros,COM,,,Indian Ocean
