name,area,depth,altitude,type,river,longitude,latitude
Kentucky Lake,648.0,,,,Tennessee,-88.3,37.0
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Lake Bosumtwi,49.0,81.0,107.0,impact,,-1.4,6.5
Bodensee,538.5,254.0,395.0,,Rhein,9.4,47.6
Ozero Pskovskoje,3555.0,14.6,30.0,,Narva,27.49,58.68
Lake Sakakawea,1578.0,55.0,,artificial,Missouri,-101.42,47.48
Lake Genezareth,165.0,46.0,-212.0,,Jordan,35.6,32.81
Loch Ness,56.0,226.0,16.0,,,-4.44,57.31
Lake Nyos,,208.0,,caldera,,10.3,6.44
Lake Oahe,1453.0,,,artificial,Missouri,-100.4,44.45
Neusiedlersee,320.0,1.8,115.5,,,16.7,47.8
Lake Tanganjika,32893.0,1470.0,782.0,,Lukuga,30.0,-6.0
Ozero Balchash,18428.0,26.0,342.0,salt,,74.88,46.55
Lake Mead,640.0,180.0,372.0,artificial,Colorado,-114.75,36.05
Lake Natron,1040.0,2.0,600.0,salt,,36.0,-2.4
Loch Lomond,71.0,190.0,7.9,,,-4.59,56.08
Brienzersee,29.8,260.0,564.0,,Aare,7.97,46.73
Lake Ohrid,367.0,289.0,695.0,,Black Drin,20.7,41.0
Chew Bahir,800.0,7.5,520.0,salt,,36.85,4.7
Lago de Sobradinho,4214.0,,,artificial,Rio Sao Francisco,-40.7,-9.46
Thunersee,48.3,217.0,558.0,,Aare,7.716,46.69
Laguna Mar Chiquita,5770.0,19.0,71.0,salt,,-62.67,-30.5
Vierwaldstattersee,113.7,214.0,434.0,,Reuss,8.4,47.0
Vaenern,5648.0,106.0,44.0,,Goetaaelv,13.3,58.8
Siljan,290.0,134.0,161.0,impact,Oesterdalaelv,14.8,60.85
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Lake Cabora-Bassa,2800.0,,326.0,artificial,Zambezi,32.7,-15.6
Arresoe,40.2,5.6,,,,12.1,56.0
Lake Malawi,29600.0,704.0,474.0,,Chire,34.0,-12.0
Crater Lake,53.2,594.0,1883.0,caldera,,-122.1,42.9
Lake Urmia,5470.0,7.0,1280.0,salt,,45.3,37.7
Lake Kariba,5580.0,32.0,,artificial,Zambezi,28.75,-16.5
