river,country,province
Lech,D,Bayern
Ganges,IND,West Bengal
Jenissej,R,Rep. of Tyva
Amur,TJ,Heilongjiang
Tigris,TR,Siirt
Lech,A,Tyrol
Uelle,ZRE,Haut Zaire
Rio Lerma,MEX,Queretaro
Oka,R,Tulskaya oblast
Glomma,N,Akershus
Pruth,UA,Ivano Frankivska
Vuoksi,R,Rep. of Karelia
Mississippi,USA,Illinois
Northern Dwina,R,Arkhangelskaya oblast
Donau,A,Lower Austria
White Drin,KOS,Kosovo
Murat,TR,Mus
Glomma,N,Hedmark
Uelle,ZRE,Equateur
Rio Magdalena,CO,Santander del Sur
Isar,D,Bayern
Oka,R,Vladimirskaya oblast
Oka,R,Ryazanskaya oblast
Olt,RO,Vilcea
Euphrat,TR,Malatya
Parana,BR,Minas Gerais
Bahr el-Ghasal,SUD,Aali an Nil
Doubs,F,Franche Comte
Amazonas,PE,Loreto
Brahmaputra,BD,Bangladesh
Yukon River,CDN,Yukon Territory
Donau,BG,Bulgaria
Rhein,A,Vorarlberg
Ural,R,Rep. of Bashkortostan
Luvua,ZRE,Shaba/Katanga
Pruth,MD,Moldova
Amudarja,UZB,Samarqand
Iller,A,Vorarlberg
Loire,F,Centre
Drau,H,Baranya
Thjorsa,IS,Iceland
Limpopo,MOC,Gaza
Blue Nile,SUD,al Khartum
Tobol,KAZ,Qostanay
Raab,H,Gyor Sopron
Theiss,UA,Zakarpatska
Ob,R,Novosibirskaya oblast
Rio San Juan,NIC,Nicaragua
Parana,PY,Paraguay
Western Dwina,LV,Latvia
Mosel,F,Lorraine
Colorado,USA,Colorado
Oka,R,Moskovskaya oblast
Weser,D,Nordrhein Westfalen
Nile,ET,Sohag
