island,country,province
Savaii,WS,Samoa
Filicudi,I,Calabria
West Falkland,FALK,Falkland Islands
Rene Levasseur Island,CDN,Ontario
Great Britain,GB,Blaenau Gwent
Guam,GUAM,Guam
Great Britain,GB,Cornwall
Cuba,C,Ciudad de la Habana
Honshu,J,Aomori
Great Britain,GB,Cleveland
San Clemente Island,USA,California
Gozo,M,Malta
Shetland Mainland,GB,Shetland
Cuba,C,Cienfuegos
Panay,RP,Philippines
Great Britain,GB,Torfaen
Hispaniola,RH,Haiti
Cuba,C,Ciego de Avila
Mallorca,E,Balearic Islands
Krakatau,RI,Indonesia
Chios,GR,Voreion Aiyaion
