country,organization,type
BDS,IFAD,Category III
BRN,FAO,member
MYA,IBRD,member
ET,WIPO,member
LT,ECE,member
SGP,UN,member
SK,NSG,member
SN,UNAMIR,member
RSM,OSCE,member
AL,IFC,member
M,ITU,member
SUD,WIPO,member
NOK,UNIDO,member
CH,IAEA,member
BDS,IOC,National Olympic Committee
B,G-10,member
S,IAEA,member
GCA,CACM,member
GR,Intelsat,member
RB,WTrO,member
WS,FAO,member
RCA,ILO,member
RSM,WHO,member
MC,ICAO,member
CY,EU,member
SME,UN,member
RA,IMF,member
NZ,SPC,member
RP,WCL,member
RT,FAO,member
BD,UNAMIR,member
IL,ECE,member
RA,UN,member
IR,WIPO,member
JOR,UNOMIG,member
CAM,IAEA,member
E,UNU,member
N,UNAVEM III,member
ZW,WIPO,member
THA,UNIKOM,member
PA,PCA,member
