name,mountains,height,type,longitude,latitude
Nevado de Colima,Cordillera Volcanica,4330.0,volcano,-104.0,20.0
Monte Rosa,Alps,4634.0,,7.9,45.9
Sarektjokko,,2090.0,,17.4,67.3
Mont Greboun,Azbine,1944.0,,9.0,20.0
Mauna Loa,Hawaii,4170.0,volcano,-155.6,19.5
Olymp,,2917.0,,22.35,40.1
Blue Mountain Peak,,2256.0,,-76.4,18.1
Clingmans Dome,Appalachen,2025.0,,-83.2,35.3
Kerinci,,3805.0,volcano,101.45,-1.7
Borah Peak,Rocky Mountains,3859.0,,-113.8,44.1
Mt Mitchell,Appalachen,2037.0,,-82.1,35.4
Cotopaxi,Andes,5897.0,volcano,-78.4,-0.7
Ausangate,Cordillera Vilcanota,6336.0,,-71.2,-13.8
Puncak Jaya,Sudirman Range,4884.0,,137.11,-4.1
Mt Hood,Cascade Range,3424.0,volcano,-121.5,45.2
Aconcagua,Andes,6962.0,,-70.0,-32.65
Leuser,,3466.0,volcanic,98.0,3.0
Monte Falterona,Apennin,1654.0,,11.7,43.9
Sulitjelma,,1914.0,,16.2,67.1
Psiloritis,Crete,2456.0,,24.7,35.2
Etna,,3323.0,volcano,15.0,37.7
Narodnaja,Ural,1895.0,,60.1,65.0
Humphreys Peak,Rocky Mountains,3850.0,volcanic,-111.65,35.3
Nevado del Ruiz,Andes,5389.0,volcano,-75.3,4.9
Meru,East African Rift,4567.0,volcano,36.8,-3.2
Mt Washington,Appalachen,1917.0,,-71.3,44.3
Tubkhal,Atlas,4165.0,,-8.0,31.0
Mantalingajan,,2085.0,volcanic,118.4,9.7
Ampato,Andes,6288.0,volcano,-71.9,-15.8
Mt Rainier,Cascade Range,4392.0,volcano,-121.75,46.5
Boundary Peak,Sierra Nevada California,4006.0,,-118.3,37.9
Sajama,Andes,6542.0,volcano,-68.9,-18.1
Guadalupe Peak,Rocky Mountains,2667.0,,-105.0,32.0
Popocatepetl,Cordillera Volcanica,5450.0,volcano,-98.0,19.0
