sea1,sea2
Atlantic Ocean,Indian Ocean
Malakka Strait,South China Sea
North Sea,Norwegian Sea
Arabian Sea,Indian Ocean
Indian Ocean,Pacific Ocean
Black Sea,Mediterranean Sea
Black Sea,Sea of Azov
Arabian Sea,Gulf of Aden
Atlantic Ocean,Norwegian Sea
East China Sea,Pacific Ocean
Caribbean Sea,Gulf of Mexico
North Sea,Skagerrak
East China Sea,Yellow Sea
Atlantic Ocean,Mediterranean Sea
Arctic Ocean,Bering Sea
Andaman Sea,Gulf of Bengal
Arctic Ocean,Barents Sea
Pacific Ocean,Sea of Okhotsk
Andaman Sea,Malakka Strait
Gulf of Bengal,Sunda Sea
Atlantic Ocean,North Sea
Bering Sea,Pacific Ocean
Arabian Sea,Gulf of Oman
Pacific Ocean,Sea of Japan
East China Sea,Sea of Japan
Baltic Sea,North Sea
Sea of Japan,Sea of Okhotsk
Pacific Ocean,Sulawesi Sea
Gulf of Aden,Indian Ocean
Atlantic Ocean,The Channel
Pacific Ocean,Sunda Sea
Kattegat,Skagerrak
Atlantic Ocean,Gulf of Mexico
North Sea,The Channel
