island,sea,lake,river
Santa Rosa Island,Pacific Ocean,,
Lundy,Atlantic Ocean,,
Greenland,Arctic Ocean,,
Fuenen,Baltic Sea,,
Porto Santo,Atlantic Ocean,,
Baltrum,North Sea,,
Gotland,Baltic Sea,,
Formentera,Mediterranean Sea,,
Tarawa,Pacific Ocean,,
Osterinsel,Pacific Ocean,,
Taiwan,South China Sea,,
Cayman Brac,Caribbean Sea,,
Futuna,Pacific Ocean,,
Tinian,Pacific Ocean,,
Vlieland,North Sea,,
Isabela,Pacific Ocean,,
Taiwan,East China Sea,,
Grand Comoro,Indian Ocean,,
Ambon,Sunda Sea,,
Fongafale,Pacific Ocean,,
Antigua,Caribbean Sea,,
Bonaire,Caribbean Sea,,
Great Britain,North Sea,,
Saint Kitts,Caribbean Sea,,
Honshu,Pacific Ocean,,
Krakatau,Indian Ocean,,
Terceira,Atlantic Ocean,,
Borkum,North Sea,,
Lewis and Harris,Atlantic Ocean,,
Tutuila,Pacific Ocean,,
Teneriffa,Atlantic Ocean,,
Sardegna,Mediterranean Sea,,
Santa Catalina Island,Pacific Ocean,,
Barbados,Atlantic Ocean,,
Faial,Atlantic Ocean,,
Batam,South China Sea,,
Kotelny Island,Sibirian Sea,,
Sicilia,Mediterranean Sea,,
Ibiza,Mediterranean Sea,,
Lipari,Mediterranean Sea,,
Alicudi,Mediterranean Sea,,
Saint Kitts,Atlantic Ocean,,
Gomera,Atlantic Ocean,,
Zakinthos,Mediterranean Sea,,
Fogo,Atlantic Ocean,,
Victoria Island,Arctic Ocean,,
Lesbos,Mediterranean Sea,,
Te Waka-a-Maui (South Island),Pacific Ocean,,
Sao Tome,Atlantic Ocean,,
Anglesey,Irish Sea,,
Baffin Island,Arctic Ocean,,
Cuba,Gulf of Mexico,,
Basse-Terre,Atlantic Ocean,,
