name,country,population,area,capital,capprov
Samarqand,UZB,2322000,16400.0,Samarqand,Samarqand
Bolivar,YV,1142210,238000.0,Ciudad Bolivar,Bolivar
Przemyskie,PL,409600,4437.0,Przemysl,Przemyskie
Central,GB,273400,2700.0,Stirling,Central
North Korea,NOK,23904124,,Pyongyang,North Korea
Uttar Pradesh,IND,139112287,294411.0,Lucknow,Uttar Pradesh
Centre,CAM,1651600,68926.0,Yaounde,Centre
Astrakhanskaya oblast,R,1028900,44100.0,Astrakhan,Astrakhanskaya oblast
West Bank,WEST,1427741,,,
Timor-Leste,TL,1131612,,Dili,Timor-Leste
Ryazanskaya oblast,R,1325300,39600.0,Ryazan,Ryazanskaya oblast
East Flanders,B,1340056,2982.0,Ghent,East Flanders
Haiti,RH,6731539,,Port-au-Prince,Haiti
Taiwan,RC,21465881,,Taipei,Taiwan
Central,EAK,3110000,13176.0,Nyeri,Central
Shimane,J,771441,6628.0,Matsue,Shimane
Holguin,C,972000,9301.0,Holguin,Holguin
La Libertad,PE,1366125,25569.0,Trujillo,La Libertad
Thessalia,GR,731030,14037.0,Larisa,Thessalia
Chiba,J,5797782,5150.0,Chiba,Chiba
Kafr el Sheikh,ET,1968000,3437.0,Kafr el Sheikh,Kafr el Sheikh
Indiana,USA,5864108,93719.0,Indianapolis,Indiana
Liechtenstein,FL,31122,,Vaduz,Liechtenstein
Nottinghamshire,GB,1015500,2164.0,Nottingham,Nottinghamshire
Rostovskaya oblast,R,4426400,100800.0,Rostov no Donu,Rostovskaya oblast
Ocotepeque,HCA,81800,1680.0,Ocotepeque,Ocotepeque
Cankiri,TR,279129,8454.0,Cankiri,Cankiri
Limpopo,RSA,4128000,119606.0,Pietersburg,Limpopo
Sakarya,TR,683061,4817.0,Sakarya,Sakarya
Miyazaki,J,1175819,7735.0,Miyazaki,Miyazaki
Kurganskaya oblast,R,1112200,71000.0,Kurgan,Kurganskaya oblast
Almaty (munic.),KAZ,1172400,0.0,Almaty,Almaty (munic.)
Moskovskaya oblast,R,6596600,47000.0,Moscow,Moskva
Murcia,E,1070401,11314.0,Murcia,Murcia
Maputo,MOC,840800,25756.0,Maputo,Maputo (munic.)
Burgenland,A,273000,3965.0,Eisenstadt,Burgenland
Algeria,DZ,29183032,,Algier,Algeria
Manitoba,CDN,1113898,650086.0,Winnipeg,Manitoba
Valencia,E,3909047,23255.0,Valencia,Valencia
Poltavska,UA,1756900,28800.0,Poltava,Poltavska
Vilcea,RO,430000,5705.0,Rimnicu Vilcea,Vilcea
Aali an Nil,SUD,1599605,238792.0,Malakal,Aali an Nil
