mountain,country,province
Torre de Cerredo,E,Castile and Leon
Kangchendzonga,NEP,Nepal
Kinabalu,MAL,Sabah
Pik Pobeda,TJ,Xinjiang Uygur
Mount Apo,RP,Philippines
Soufriere,WV,Saint Vincent and the Grenadines
Jabal Marra,SUD,Darfur
Kanlaon,RP,Philippines
GranParadiso,I,Piemonte
Sajama,BOL,Bolivia
Andringitra,RM,Fianarantsoa
Ruapehu,NZ,New Zealand
Mount Everest,TJ,Tibet
Mount Everest,NEP,Nepal
Jezerce,AL,Albania
Cho Oyu,NEP,Nepal
Jabal Katrina,ET,Sina al Janubiyah
Psiloritis,GR,Kriti
Pulog,RP,Philippines
Mt Columbia,CDN,Alberta
Nevado del Ruiz,CO,Choco
Torre de Estrela,P,Guarda
Ras Daschan Terara,ETH,Ethiopia
Citlaltepetl (Pico de Orizaba),MEX,Veracruz
Mt Adams,USA,Washington
Pik Kommunizma,TAD,Badakhshoni Kuni
Tarrekaise,S,Norrbotten
Pik Pobeda,KGZ,Kyrgyzstan
Kings Peak,USA,Utah
Monte Rosa,I,Valle dAosta
Cho Oyu,TJ,Tibet
Meru,EAT,Arusha
Vignemale,F,Midi Pyrenees
Moldoveanu,RO,Brasov
Mt Redoubt,USA,Alaska
Semeru,RI,Indonesia
Mt. Babel,CDN,Quebec
Finsteraarhorn,CH,BE
Zard Kuh,IR,Chahar Mahal e Bakhtiari
Lhotse,NEP,Nepal
Karisimbi,ZRE,Kivu
GranParadiso,I,Valle dAosta
Mt Bona,USA,Alaska
Gasherbrum I,PK,Pakistan
Ojos del Salado,RCH,Chile
Mt Marcy,USA,New York
Ararat,TR,Agri
K2,PK,Pakistan
Olymp,GR,Thessalia
Korab,MK,Macedonia
Kebnekaise,S,Norrbotten
Portefjaellen,S,Norrbotten
Cotopaxi,EC,Ecuador
Illampu,BOL,Bolivia
Matterhorn,I,Valle dAosta
La Soufriere,GUAD,Guadeloupe
Schneekoppe,PL,Walbrzyskie
Narodnaja,R,Rep. of Komi
Cerro Chirripo,CR,Cartago
Dodabetta,IND,Tamil Nadu
Nevado de Toluca,MEX,"Mexico, Estado de"
