country,population_growth,infant_mortality
AFG,4.78,149.7
ANG,2.68,138.9
AZ,0.78,74.5
BD,1.85,102.3
BEN,3.32,105.1
BF,2.53,117.8
BHT,2.32,116.3
BI,1.54,102.2
BOL,1.82,67.5
BR,1.16,55.3
CAM,2.89,78.7
CI,2.92,82.4
COM,3.55,75.3
CV,2.93,54.3
DJI,1.5,106.7
EAK,2.27,55.3
EAT,1.15,105.9
EAU,2.24,99.4
ER,2.79,118.9
ET,1.91,72.8
ETH,2.72,122.8
G,1.47,90.1
GCA,2.48,50.7
GH,2.29,80.3
GNB,2.35,115.8
GQ,2.58,98.0
GUY,-0.9,51.4
IND,1.64,71.1
IR,2.21,52.7
IRQ,3.69,60.0
K,2.77,107.8
KAZ,-0.15,63.2
KGZ,0.07,77.8
KIR,1.89,52.9
LAO,2.81,96.8
LAR,3.67,59.5
LB,2.13,108.1
LS,1.9,81.6
MAYO,3.32,56.29
MNG,1.69,69.7
MOC,2.65,125.6
MW,1.71,139.9
MYA,1.84,80.7
NEP,2.45,79.0
PE,1.74,52.2
PK,2.24,96.8
PNG,2.29,60.1
RB,1.63,54.2
RCA,2.08,111.7
RCB,2.19,108.1
RG,1.85,134.1
RH,1.77,103.8
RI,1.53,63.1
RIM,3.17,81.7
RM,2.83,93.5
RMM,2.95,102.7
RN,2.99,117.6
RT,3.56,84.3
RWA,16.49,118.8
SD,3.24,88.4
SN,3.37,64.0
