lake,country,province
Brienzersee,CH,BE
Lake Prespa,GR,Dhytiki Makedhonia
Saimaa,SF,Kymi
Dead Sea,IL,South
Caspian Sea,IR,Gilan
Lake Champlain,CDN,Quebec
Lake Kivu,RWA,Rwanda
Lake Sese Seko/Albertsee,ZRE,Haut Zaire
Lake Ohrid,MK,Macedonia
Lake Victoria,EAT,Mwanza
Lake Tahoe,USA,California
Balaton,H,Veszprem
Lake Titicaca,PE,Puno
Lake Nipigon,CDN,Ontario
Vierwaldstattersee,CH,OW
Lake Champlain,USA,Vermont
Pyramid Lake,USA,Nevada
Caspian Sea,KAZ,Mangghystau
Lake Hume,AUS,Victoria
Bodensee,D,Baden Wurttemberg
Caspian Sea,IR,Mazandaran
Crater Lake,USA,Oregon
Lake Powell,USA,Utah
Lake Sakakawea,USA,Montana
Lake Kainji,WAN,Nigeria
Lake Mead,USA,Nevada
Ozero Tschany,R,Novosibirskaya oblast
Lake Abbe,DJI,Djibouti
Barrage de Mbakaou,CAM,Adamaoua
Lake Genezareth,SYR,Syria
Lake Powell,USA,Arizona
Lake Mai Ndombe,ZRE,Bandundu
Makarikari Salt Pan,RB,Botswana
Lake Tanganjika,EAT,Mbeya
Ammersee,D,Bayern
Great Bear Lake,CDN,Northwest Territories
Lake Van,TR,Bitlis
Lake Sakakawea,USA,North Dakota
Lake Irazu,CR,Cartago
Ozero Onega,R,Vologodskaya oblast
Lake Erie,USA,Pennsylvania
Lake Okeechobee,USA,Florida
Lake Malawi,MOC,Niassa
Mjoesa-See,N,Hedmark
Lake Manicouagan,CDN,Quebec
Maelaren,S,Vastmanland
Lake Turkana,ETH,Ethiopia
Laguna Mar Chiquita,RA,Santa Fe
Lago Maggiore,I,Lombardia
Lake Keban,TR,Malatya
Dead Sea,WEST,West Bank
Lac Leman,CH,GE
Lake Tanganjika,ZRE,Shaba/Katanga
Zurichsee,CH,ZH
Lac Assal,DJI,Djibouti
Siljan,S,Dalarna
Thunersee,CH,BE
Lake Kariba,ZW,Zimbabwe
Caspian Sea,KAZ,Atyrau
Lake Nasser,ET,Aswan
Lake Michigan,USA,Wisconsin
Licancabur Crater Lake,RCH,Chile
Lake Rukwa,EAT,Mbeya
Vaettern,S,Skaraborg
Vaenern,S,Skaraborg
Lake Erie,USA,Ohio
Lago di Bolsena,I,Lazio
Great Slave Lake,CDN,Northwest Territories
Chad Lake,RN,Niger
Lake Ontario,USA,New York
Lake Tanganjika,ZRE,Kivu
Lake Ontario,CDN,Ontario
Vierwaldstattersee,CH,LU
Lake Erie,CDN,Ontario
Lake Hume,AUS,New South Wales
Caspian Sea,R,Astrakhanskaya oblast
Ozero Balchash,KAZ,Taldyqorghan
Lake Kariba,Z,Southern
Chiemsee,D,Bayern
Lago Trasimeno,I,Umbria
Issyk-Kul,KGZ,Kyrgyzstan
