name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Bahr el-Ghasal,White Nile,,,716.0,,,,,30.43,9.5
Missouri,Mississippi,Fort Peck Lake,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Olt,Donau,,,615.0,25.8,46.65,Karpaten,1280.0,24.8,43.7
Lena,,,Sibirian Sea,4400.0,107.88,53.99,,1465.0,126.692,72.4005
Limpopo,,,Indian Ocean,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Jordan,,Dead Sea,,251.0,35.7,33.7,Jabal Lubnan,,35.5,31.3
Ohio River,Mississippi,,,1579.0,-80.0,40.42,,222.0,-89.13,36.98
Jangtse,,,East China Sea,6380.0,91.2,33.5,,5405.0,121.5,32.0
Black Drin,Drin,,,133.0,20.7,41.0,,695.0,20.4,42.1
Lagen,Glomma,Mjoesa-See,,322.0,8.45,62.19,,611.0,11.45,61.1
Bahr el-Djebel/Albert-Nil,White Nile,,,,30.9,1.7,East African Rift,619.0,30.43,9.5
Merrimack River,,,Atlantic Ocean,177.0,-71.6,43.4,,,-70.8119,42.8194
Volga,,Caspian Sea,,3531.0,33.0,57.0,Waldai Hills,,47.85,46.7333
Victoria Nile,,Lake Sese Seko/Albertsee,,,33.0,-1.0,East African Rift,1134.0,30.9,1.7
Dnepr,,,Black Sea,2201.0,34.0,55.5,Waldai Hills,220.0,32.252,46.5257
Nelson River,,,Arctic Ocean,664.0,-97.97,52.77,,218.0,-92.33,57.15
Niger,,Lake Kainji,Atlantic Ocean,4184.0,-10.87,9.65,,490.0,6.42,5.32
Tocantins,,,Atlantic Ocean,2640.0,-49.0,-16.0,,,-48.0,-0.5
Atbara,Nile,,,1120.0,37.3,12.8,Ethiopian Highlands,,33.97,17.68
Vaesterdalaelv,Dalaelv,,,320.0,12.6,61.8,,,15.1,60.7
Saint Lawrence River,,,Atlantic Ocean,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Kymijoki,,,Baltic Sea,203.0,25.4,61.5,,78.0,26.5,60.3
Arno,,,Mediterranean Sea,240.0,11.7,43.9,Apennin,1385.0,10.2,43.7
Aare,Rhein,Brienzersee,,288.0,8.2,46.55,Alps,2310.0,8.22,47.61
Enns,Donau,,,254.0,13.35,47.33,Alps,1375.0,14.52,48.24
Rhein,,Bodensee,North Sea,1324.0,8.7,46.6,Alps,2345.0,4.0,51.9
Schari,,Chad Lake,,1400.0,21.0,8.0,,,14.0,13.2
Volta,,Lake Volta,Atlantic Ocean,1500.0,-4.5,11.0,,,0.68,5.77
Lukuga,Lualaba,,,350.0,29.2,-5.9,East African Rift,782.0,27.0,-6.0
Ruki,Zaire,,,130.0,19.0,-0.3,,,18.0,0.0
Detroit River,,Lake Erie,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Rio Magdalena,,,Caribbean Sea,1538.0,-77.0,2.0,Andes,,-74.8,10.95
Guadiana,,,Atlantic Ocean,742.0,-3.0,42.0,Cordillera Iberica,608.0,-7.65,37.35
Goetaaelv,,,Kattegat,93.0,12.34,58.4,,44.0,11.9,57.7
Drau,Donau,,,749.0,12.26,46.73,Alps,1450.0,18.93,45.54
Rio Desaguadero,,Poopo,,383.0,-69.0,-16.55,Andes,3812.0,-67.1,-18.55
Tshuapa,Busira,,,1300.0,24.5,-3.0,,,20.8,-0.2
Po,,,Mediterranean Sea,652.0,7.09,44.7,Alps,2022.0,12.43,44.95
Sobat,White Nile,,,740.0,,,,,31.65,9.63
Wurm,Ammer,Starnberger See,,35.0,11.35,48.0,,596.0,11.5,48.3
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Pruth,Donau,,,953.0,24.55,48.16,Karpaten,,28.21,45.47
Southern Morava,Morava,,,295.0,21.4,42.1,,,21.4,43.7
Blue Nile,Nile,,,1783.0,37.3,12.0,Ethiopian Highlands,1830.0,32.5,15.6
Don,,,Sea of Azov,1870.0,37.5,53.0,,,39.4,47.1
Darling River,Murray River,,,2739.0,152.0,-28.0,Great Dividing Range,,141.9,-34.1
Hudson River,,,Atlantic Ocean,493.0,-73.95,44.1,Adirondacks,1309.0,-74.0,40.7
Mosel,Rhein,,,544.0,6.89,47.89,Vogesen,715.0,7.61,50.37
Mur,Drau,,,453.0,13.35,47.13,Alps,1898.0,16.88,46.3
Thjorsa,,,Atlantic Ocean,230.0,-18.0,65.0,,,-20.8,63.9
Shabelle,Jubba,,,1820.0,,,,,42.76,0.5
Kokemaeenjoki,,,Baltic Sea,121.0,23.0,61.3,,,21.2,61.3
Klaraelv,,Vaenern,,460.0,11.9,62.2,,662.0,13.5,59.4
Marne,Seine,,,514.0,5.35,47.8,,406.0,2.4,48.8
Lomami,Zaire,,,1450.0,24.7,-8.7,,1140.0,24.0,-0.8
Amudarja,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Uruguay,,,Atlantic Ocean,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Brahmaputra,,,Ganges,2896.0,81.33,31.06,,6000.0,89.8,23.8
Karun,Schatt al Arab,,,950.0,50.1,32.35,Zagros,,48.17,30.43
Baro,Sobat,,,,,,,,,
Rio Sao Francisco,,Lago de Sobradinho,Atlantic Ocean,2830.0,-43.0,-20.3,,1200.0,-36.4,-10.5
Morava,Donau,,,185.0,21.4,43.7,,,21.1,44.6
Irtysch,Ob,,,4248.0,90.0,47.9,Altai,2930.0,68.93,61.07
Etsch,,,Mediterranean Sea,415.0,10.5,46.7,Alps,1525.0,7.09,44.8
Rio Madeira,Amazonas,,,1450.0,-65.4,-10.4,,,-58.76,-3.4
Euphrat,Schatt al Arab,,,2736.0,38.75,38.8,,,47.44,31.0
Saone,Rhone,,,480.0,6.2,48.1,Vogesen,451.0,4.8,45.7
Garonne,,,Atlantic Ocean,647.0,0.8,42.73,Pyrenees,,-0.6,45.0
Werra,Weser,,,292.0,10.96,50.5,Thueringer Wald,797.0,9.65,51.4
Kasai,Kwa,,,1983.0,19.3,-10.96,,,17.4,3.3
Syrdarja,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Maas,,,North Sea,925.0,5.63,47.97,,409.0,4.67,51.72
Cuilo,Kwa,,,970.0,14.7,-11.3,,,17.4,3.3
Angara,Jenissej,Ozero Baikal,,1779.0,113.0,56.5,,,92.5,58.2
Sanga,Zaire,,,530.0,15.0,6.0,,,17.0,-2.0
Kemijoki,,,Baltic Sea,550.0,28.9525,67.96,,230.0,24.45,65.77
Karasu,,Lake Keban,,720.0,41.3,49.9,Kurdistan,1950.0,38.75,38.8
Rio San Juan,,Lake Managua,Caribbean Sea,199.0,-85.35,11.6,,31.0,-83.7,10.9
Weser,,,North Sea,440.0,9.65,51.4,,116.5,8.5,53.5
Paatsjoki,,,Barents Sea,145.0,28.3,68.95,,119.0,30.05,60.75
Rio Grande,,,Gulf of Mexico,3034.0,-107.5,38.0,,3900.0,-97.18,25.96
Limmat,Aare,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Oka,Volga,,,1480.0,36.1,52.5,,,44.0,56.3
Elbe,,,North Sea,1091.0,15.54,50.78,Sudety Mountains,1.386,8.71,53.89
Riviere Richelieu,Saint Lawrence River,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
