city,province,country,island
Stroud,Gloucestershire,GB,Great Britain
Nueva Gerona,Isla de la Juventud,C,Cuba
Palikir,Micronesia,FSM,Ponape
Zamboanga,Philippines,RP,Mindanao
Eastleigh,Hampshire,GB,Great Britain
Grand Turk,Turks and Caicos Islands,TUCA,Grand Turk
Douglas,Man,GBM,Isle of Man
Rotherham,South Yorkshire,GB,Great Britain
Alofi,Niue,NIUE,Niue
Tebing Tinggi,Indonesia,RI,Sumatra
Aberystwyth,Ceredigion,GB,Great Britain
Fukuoka,Fukuoka,J,Kyushu
Stornoway,Outer Hebrides,GB,Lewis and Harris
Palangkaraya,Indonesia,RI,Borneo
Sancti Spiritus,Sancti Spiritus,C,Cuba
Stanley,Falkland Islands,FALK,East Falkland
Kaohsiung,Taiwan,RC,Taiwan
Tanjung Balai,Indonesia,RI,Sumatra
Samarinda,Indonesia,RI,Borneo
Bogor,Indonesia,RI,Java
Hamilton,Bermuda,BERM,Grand Bermuda
Port-au-Prince,Haiti,RH,Hispaniola
Gateshead,Tyne and Wear,GB,Great Britain
Jakarta,Indonesia,RI,Java
Haikou,Hainan,TJ,Hainan
Taipei,Taiwan,RC,Taiwan
Chichester,West Sussex,GB,Great Britain
Derby,Derbyshire,GB,Great Britain
Portsmouth,Hampshire,GB,Great Britain
Oranjestad,Aruba,ARU,Aruba
Stockton on Tees,Cleveland,GB,Great Britain
Port-Vila,Vanuatu,VU,Efate
Madiun,Indonesia,RI,Java
Malabo,Equatorial Guinea,GQ,Bioko
Wokingham,Berkshire,GB,Great Britain
Exeter,Devon,GB,Great Britain
Port Louis,Mauritius,MS,Mauritius
Sandwell,West Midlands,GB,Great Britain
Copenhagen,Denmark,DK,Seeland
Chiai,Taiwan,RC,Taiwan
Pasig,Philippines,RP,Luzon
Pangkal Pinang,Indonesia,RI,Bangka
Tottori,Tottori,J,Honshu
Canterbury,Kent,GB,Great Britain
Newcastle upon Tyne,Tyne and Wear,GB,Great Britain
Southend on Sea,Essex,GB,Great Britain
Winchester,Hampshire,GB,Great Britain
Port Moresby,Papua New Guinea,PNG,New Guinea
Reykjavik,Iceland,IS,Iceland
Mold,Flintshire,GB,Great Britain
Sanchuung,Taiwan,RC,Taiwan
Warwick,Warwickshire,GB,Great Britain
Holguin,Holguin,C,Cuba
Funchal,Madeira,P,Madeira
Inverness,Highland,GB,Great Britain
Malang,Indonesia,RI,Java
Praia,Cape Verde,CV,Santiago
