desert,country,province
Sonora,MEX,Sonora
Gobi,TJ,Gansu
Kysylkum,UZB,Samarqand
Ust Urt,KAZ,Aqtobe
Great Basin,USA,Utah
Erg Isaouane,DZ,Algeria
Kysylkum,UZB,Qaraqalpoghiston
Trarza,RIM,Mauritania
Kalahari,NAM,Namibia
Grand Erg Est,DZ,Algeria
Karakum,UZB,Qaraqalpoghiston
Ordos,TJ,Nei Monggol
Dascht-e-Margoh,AFG,Afghanistan
Erg Maqteir,RIM,Mauritania
Thar,IND,Punjab
Rub Al Chali,UAE,Ash Shariqah
Mujunkum,KAZ,Zhambyl
Tanezrouft,DZ,Algeria
Thar,PK,Pakistan
Grand Erg Ouest,DZ,Algeria
Great Basin,USA,California
Owyhee,USA,Nevada
TaklaMakan,TJ,Xinjiang Uygur
Sonora,MEX,Chihuahua
Libyan Desert,ET,El Giza
Erg Chech,DZ,Algeria
Rub Al Chali,UAE,Abu Dhabi
Dascht-e-Kavir,IR,Khorasan
Rigestan,PK,Pakistan
Karakum,TM,Mary
Atacama,RCH,Chile
Simpson Desert,AUS,Queensland
Erg Igidi,RIM,Mauritania
Rub Al Chali,UAE,Ras al Khaymah
Erg Rebiana,LAR,Libya
Fesan,LAR,Libya
Saguia el-Hamra,WSA,Western Sahara
Dascht-e-Kavir,IR,Semnan
Rub Al Chali,UAE,Umm al Qaywayn
Ordos,TJ,Ningxia Huizu
Karakum,TM,Ahal
Rub Al Chali,SA,Saudi Arabia
Sturt Desert,AUS,Northern Territory
Great Victoria Desert,AUS,Western Australia
Baja California Desert,MEX,Baja California
Sonora,USA,Arizona
Ordos,TJ,Shaanxi
Syrian Desert,SYR,Syria
Karakum,TM,Balkan
Great Basin,USA,Nevada
Nubian Desert,SUD,ash Sharqiyah
Ryn,R,Astrakhanskaya oblast
Thar,IND,Gujarat
Ferlo,SN,Tambacounda
Azaouad,DZ,Algeria
