country,independence,dependent,government
ET,1922-02-28,,republic
IR,1979-04-01,,theocratic republic
PR,,USA,commonwealth associated with the US
WAFU,,F,overseas territory of France
STP,1975-07-12,,republic
GUAM,,USA,organized
SD,1968-09-06,,monarchy
K,1949-11-09,,multiparty liberal democracy under a constitutional monarchy established in September 1993
DJI,1977-06-27,,republic
A,1918-11-12,,federal republic
AUS,1901-01-01,,federal parliamentary state
FSM,1986-11-03,,constitutional government in free association with the US
UA,1991-12-01,,republic
BRU,1984-01-01,,constitutional sultanate
BS,1973-07-10,,commonwealth
GQ,1968-10-12,,republic in transition to multiparty democracy
NORF,,AUS,territory of Australia
YE,1990-05-22,,republic
PK,1947-08-14,,republic
CDN,1867-07-01,,confederation with parliamentary democracy
RCB,1960-08-15,,republic
KIR,1979-07-12,,republic
NIC,1821-09-15,,republic
BD,1971-12-16,,republic
NA,,NL,part of the Dutch realm
NAU,1968-01-31,,republic
WS,1962-01-01,,constitutional monarchy under native chief
GBZ,,GB,dependent territory of the UK
CY,1960-08-16,,republic
KGZ,1991-08-31,,republic
GUAD,,F,overseas department of France
SME,1975-11-25,,republic
CI,1960-08-07,,republic
RT,1960-04-27,,republic under transition to multiparty democratic rule
PL,1918-11-11,,democratic state
RSM,0301-01-01,,republic
SVAX,,N,territory of Norway administered by the Ministry of Industry
THA,1238-01-01,,constitutional monarchy
P,1140-01-01,,republic
RH,1804-01-01,,republic
DOM,1844-02-27,,republic
BVIR,,GB,British Overseas Territories
TUCA,,GB,British Overseas Territories
NMIS,,USA,commonwealth in political union with the US
CZ,1993-01-01,,parliamentary democracy
XMAS,,AUS,territory of Australia
IND,1947-08-15,,federal republic
Z,1964-10-24,,republic
TT,1962-08-31,,parliamentary democracy
KN,1983-09-19,,constitutional monarchy
