country,target
TN,non-Christian
PR,Christian
IND,non-Christian
RP,Christian
TT,Christian
SK,Christian
CO,Christian
MACX,non-Christian
GUAM,Christian
IRL,Christian
WAFU,Christian
ES,Christian
NEP,non-Christian
RG,non-Christian
REUN,Christian
N,Christian
MK,Christian
CDN,Christian
G,Christian
RH,Christian
FL,Christian
TCH,non-Christian
LAO,non-Christian
SYR,non-Christian
A,Christian
BZ,Christian
BHT,non-Christian
AFG,non-Christian
AMSA,Christian
SME,non-Christian
COCO,non-Christian
NZ,Christian
RO,Christian
BERM,Christian
NAM,Christian
CV,Christian
ET,non-Christian
WEST,non-Christian
MAYO,non-Christian
BOL,Christian
HONX,Christian
TL,Christian
KIR,Christian
RL,non-Christian
CR,Christian
ROK,Christian
AUS,Christian
BY,Christian
JOR,non-Christian
GNB,non-Christian
GROX,Christian
LS,Christian
IR,non-Christian
CY,Christian
ANG,Christian
M,Christian
Q,non-Christian
GE,Christian
MW,Christian
