abbreviation,name,city,country,province,established
NATO,North Atlantic Treaty Organization,Brussels,B,Brabant,1949-09-17
UNDOF,United Nations Disengagement Observer Force,Damascus,SYR,Syria,1974-05-31
AG,Andean Group,Lima,PE,Lima,1969-05-26
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
UNMOT,United Nations Mission of Observers in Tajikistan,New York,USA,New York,1994-12-16
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
IOC,International Olympic Committee,Lausanne,CH,VD,1894-06-23
UDEAC,Central African Customs and Economic Union,Bangui,RCA,Central African Republic,1964-12-08
WCL,World Confederation of Labor,Brussels,B,Brabant,1920-06-19
BSEC,Black Sea Economic Cooperation Zone,,,,1992-06-25
ECE,Economic Commission for Europe,Geneva,CH,GE,1947-03-28
IFAD,International Fund for Agricultural Development,Rome,I,Lazio,1974-11-01
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
OECD,Organization for Economic Cooperation and Development,Paris,F,Ile de France,1960-12-14
IADB,Inter-American Development Bank,Washington,USA,Distr. Columbia,1959-04-08
G-24,Group of 24,Brussels,B,Brabant,1972-01-01
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HCA,Francisco Morazan,1960-12-13
Intelsat,International Telecommunications Satellite Organization,Washington,USA,Distr. Columbia,1971-08-20
UNCRO,United Nations Confidence Restoration Operation in Croatia,New York,USA,New York,1995-03-31
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
G-15,Group of 15,Geneva,CH,GE,
WEU,Western European Union,Brussels,B,Brabant,1954-10-23
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",Paris,F,Ile de France,1945-11-16
PFP,Partnership for Peace,,,,1994-01-10
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
CAEU,Council of Arab Economic Unity,Amman,JOR,Jordan,1957-06-03
WMO,World Meteorological Organization,Geneva,CH,GE,1947-10-11
OAU,Organization of African Unity,Addis Ababa,ETH,Ethiopia,1963-05-25
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
CEI,Central European Initiative,Budapest,H,Budapest (munic.),1991-07-27
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
BIS,Bank for International Settlements,Basel,CH,BS,1930-01-20
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-17
MINURSO,United Nations Mission for the Referendum in Western Sahara,New York,USA,New York,1991-04-29
EU,European Union,Brussels,B,Brabant,1992-02-07
UNCTAD,United Nations Conference on Trade and Development,Geneva,CH,GE,1964-12-30
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
Entente,Council of the Entente,Abidjan,CI,Cote dIvoire,1959-05-29
WToO,World Tourism Organization,Madrid,E,Madrid,1975-01-02
Mekong Group,ASEAN-Mekong Basin Development Group,,,,1995-12-01
UNOMIG,United Nations Observer Mission in Georgia,New York,USA,New York,
OAS,Organization of American States,Washington,USA,Distr. Columbia,1948-04-30
ILO,International Labor Organization,Geneva,CH,GE,1919-04-11
G-11,Group of 11,,,,1984-06-22
ESCWA,Economic and Social Commission for Western Asia,Amman,JOR,Jordan,1973-08-09
G-8,Group of 8,,,,1975-10-01
ICRM,International Red Cross and Red Crescent Movement,Geneva,CH,GE,1928-01-01
AsDB,Asian Development Bank,Manila,RP,Philippines,1966-12-19
IDA,International Development Association,Washington,USA,Distr. Columbia,1960-01-26
FZ,Franc Zone,Paris,F,Ile de France,1945-12-20
ITU,International Telecommunication Union,Geneva,CH,GE,1932-12-09
G-9,Group of 9,,,,
RG,Rio Group,,,,1988-01-01
WADB,West African Development Bank,Lome,RT,Togo,1973-11-14
UNPREDEP,United Nations Preventive Deployment Force,,,,1995-03-31
SAARC,South Asian Association for Regional Cooperation,Kathmandu,NEP,Nepal,1985-12-08
UN,United Nations,New York,USA,New York,1945-06-26
IGADD,Inter-Governmental Authority on Drought and Development,Djibouti,DJI,Djibouti,1986-01-15
Benelux,Benelux Economic Union,Brussels,B,Brabant,1958-02-03
IFC,International Finance Corporation,Washington,USA,Distr. Columbia,1955-05-25
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
FAO,Food and Agriculture Organization,Rome,I,Lazio,1945-10-16
