sea,country,province
Persian Gulf,UAE,Ajman
Mediterranean Sea,GR,Kedriki Makedhonia
Norwegian Sea,N,Soer Trondelag
Atlantic Ocean,RA,Chubut
Atlantic Ocean,ANG,Zaire
Norwegian Sea,SVAX,Svalbard
Pacific Ocean,J,Kochi
Atlantic Ocean,USA,Georgia
Indian Ocean,RM,Fianarantsoa
Pacific Ocean,ES,El Salvador
Atlantic Ocean,USA,South Carolina
Arabian Sea,IND,Kerala
Sea of Okhotsk,R,Magadanskaya oblast
East China Sea,J,Nagasaki
South China Sea,HONX,Hong Kong
Atlantic Ocean,P,Algarve
Atlantic Ocean,USA,Connecticut
The Channel,F,Basse Normandie
Baltic Sea,SF,Aland
Gulf of Bengal,IND,Orissa
Black Sea,TR,Sinop
Baltic Sea,S,Kristianstad
Baltic Sea,S,Blekinge
Pacific Ocean,J,Fukushima
Atlantic Ocean,BR,Para
Sea of Japan,J,Fukuoka
Atlantic Ocean,GH,Ghana
Indian Ocean,MOC,Cabo Delgado
Pacific Ocean,PE,Moquegua
Sea of Japan,R,Khabarovskiy kray
Sea of Japan,J,Fukui
North Sea,N,Hordaland
Atlantic Ocean,C,Guantanamo
Atlantic Ocean,GB,Outer Hebrides
Pacific Ocean,PA,Chiriqui
Mediterranean Sea,MC,Monaco
Baltic Sea,S,Malmohus
Caribbean Sea,SMAR,Saint Martin
Mediterranean Sea,I,Lazio
Mediterranean Sea,F,Provence Cote dAzur
Caribbean Sea,CO,Cordoba
Atlantic Ocean,G,Gabon
Indian Ocean,MOC,Sofala
Skagerrak,N,Vest Agder
Persian Gulf,UAE,Umm al Qaywayn
Kattegat,S,Kristianstad
East China Sea,J,Kumamoto
South China Sea,TJ,Fujian
Indian Ocean,RM,Antsiranana
Pacific Ocean,MEX,Oaxaca
Pacific Ocean,MEX,Jalisco
