country,continent,percentage
LAO,Asia,100.0
MOC,Africa,100.0
BHT,Asia,100.0
SUD,Africa,100.0
BI,Africa,100.0
GQ,Africa,100.0
WV,America,100.0
MV,Asia,100.0
M,Europe,100.0
NEP,Asia,100.0
CY,Europe,100.0
BERM,America,100.0
AND,Europe,100.0
EAU,Africa,100.0
CL,Asia,100.0
ARU,America,100.0
ETH,Africa,100.0
BIH,Europe,100.0
KGZ,Asia,100.0
LT,Europe,100.0
PE,America,100.0
THA,Asia,100.0
TR,Europe,5.0
IL,Asia,100.0
GE,Asia,100.0
PL,Europe,100.0
CDN,America,100.0
HR,Europe,100.0
J,Asia,100.0
GUAD,America,100.0
WSA,Africa,100.0
MC,Europe,100.0
SLB,Australia/Oceania,100.0
R,Asia,80.0
C,America,100.0
B,Europe,100.0
BVIR,America,100.0
TM,Asia,100.0
