playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
aaronha01,1954,1,ML1,NL,122,122.0,468.0,58.0,131.0,27.0,6.0,13.0,69.0,2.0,2.0,28.0,39.0,,3.0,6.0,4.0,13.0,122.0
aaronha01,1955,1,ML1,NL,153,153.0,602.0,105.0,189.0,37.0,9.0,27.0,106.0,3.0,1.0,49.0,61.0,5.0,3.0,7.0,4.0,20.0,153.0
aaronha01,1956,1,ML1,NL,153,153.0,609.0,106.0,200.0,34.0,14.0,26.0,92.0,2.0,4.0,37.0,54.0,6.0,2.0,5.0,7.0,21.0,153.0
aaronha01,1957,1,ML1,NL,151,151.0,615.0,118.0,198.0,27.0,6.0,44.0,132.0,1.0,1.0,57.0,58.0,15.0,0.0,0.0,3.0,13.0,151.0
aaronha01,1958,1,ML1,NL,153,153.0,601.0,109.0,196.0,34.0,4.0,30.0,95.0,4.0,1.0,59.0,49.0,16.0,1.0,0.0,3.0,21.0,153.0
aaronha01,1959,1,ML1,NL,154,154.0,629.0,116.0,223.0,46.0,7.0,39.0,123.0,8.0,0.0,51.0,54.0,17.0,4.0,0.0,9.0,19.0,154.0
aaronha01,1960,1,ML1,NL,153,153.0,590.0,102.0,172.0,20.0,11.0,40.0,126.0,16.0,7.0,60.0,63.0,13.0,2.0,0.0,12.0,8.0,153.0
aaronha01,1961,1,ML1,NL,155,155.0,603.0,115.0,197.0,39.0,10.0,34.0,120.0,21.0,9.0,56.0,64.0,20.0,2.0,1.0,9.0,16.0,155.0
aaronha01,1962,1,ML1,NL,156,156.0,592.0,127.0,191.0,28.0,6.0,45.0,128.0,15.0,7.0,66.0,73.0,14.0,3.0,0.0,6.0,14.0,156.0
aaronha01,1963,1,ML1,NL,161,161.0,631.0,121.0,201.0,29.0,4.0,44.0,130.0,31.0,5.0,78.0,94.0,18.0,0.0,0.0,5.0,11.0,161.0
aaronha01,1964,1,ML1,NL,145,145.0,570.0,103.0,187.0,30.0,2.0,24.0,95.0,22.0,4.0,62.0,46.0,9.0,0.0,0.0,2.0,22.0,145.0
aaronha01,1965,1,ML1,NL,150,150.0,570.0,109.0,181.0,40.0,1.0,32.0,89.0,24.0,4.0,60.0,81.0,10.0,1.0,0.0,8.0,15.0,150.0
aaronha01,1966,1,ATL,NL,158,158.0,603.0,117.0,168.0,23.0,1.0,44.0,127.0,21.0,3.0,76.0,96.0,15.0,1.0,0.0,8.0,14.0,158.0
aaronha01,1967,1,ATL,NL,155,155.0,600.0,113.0,184.0,37.0,3.0,39.0,109.0,17.0,6.0,63.0,97.0,19.0,0.0,0.0,6.0,11.0,155.0
aaronha01,1968,1,ATL,NL,160,160.0,606.0,84.0,174.0,33.0,4.0,29.0,86.0,28.0,5.0,64.0,62.0,23.0,1.0,0.0,5.0,21.0,160.0
aaronha01,1969,1,ATL,NL,147,147.0,547.0,100.0,164.0,30.0,3.0,44.0,97.0,9.0,10.0,87.0,47.0,19.0,2.0,0.0,3.0,14.0,147.0
aaronha01,1970,1,ATL,NL,150,150.0,516.0,103.0,154.0,26.0,1.0,38.0,118.0,9.0,0.0,74.0,63.0,15.0,2.0,0.0,6.0,13.0,150.0
aaronha01,1971,1,ATL,NL,139,139.0,495.0,95.0,162.0,22.0,3.0,47.0,118.0,1.0,1.0,71.0,58.0,21.0,2.0,0.0,5.0,9.0,139.0
aaronha01,1972,1,ATL,NL,129,129.0,449.0,75.0,119.0,10.0,0.0,34.0,77.0,4.0,0.0,92.0,55.0,15.0,1.0,0.0,2.0,17.0,129.0
aaronha01,1973,1,ATL,NL,120,120.0,392.0,84.0,118.0,12.0,1.0,40.0,96.0,1.0,1.0,68.0,51.0,13.0,1.0,0.0,4.0,7.0,120.0
aaronha01,1974,1,ATL,NL,112,112.0,340.0,47.0,91.0,16.0,0.0,20.0,69.0,1.0,0.0,39.0,29.0,6.0,0.0,1.0,2.0,6.0,112.0
aaronha01,1975,1,ML4,AL,137,137.0,465.0,45.0,109.0,16.0,2.0,12.0,60.0,0.0,1.0,70.0,51.0,3.0,1.0,1.0,6.0,15.0,137.0
aaronha01,1976,1,ML4,AL,85,85.0,271.0,22.0,62.0,8.0,0.0,10.0,35.0,0.0,1.0,35.0,38.0,1.0,0.0,0.0,2.0,8.0,85.0
abreubo01,1996,1,HOU,NL,15,15.0,22.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,15.0
