schoolid,schoolname,schoolcity,schoolstate,schoolnick
grvalleyst,Grand Valley State University,Allendale,MI,Lakers
macollege,Massachusetts College of Liberal Arts,North Adams,MA,Trailblazers
ncstate,North Carolina State University,Raleigh,NC,Wolfpack
longwoodva,Longwood University,Farmville,VA,Lancers
shepherdwv,Shepherd College,Shepherdstown,WV,Rams
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
utsa,University of Texas at San Antonio,San Antonio,TX,Roadrunners
forthays,Fort Hays State University,Hays,KS,Tigers
gonzaga,Gonzaga University,Spokane,WA,Bulldogs
indiana,Indiana University,Bloomington,IN,Hoosiers
unc,University of North Carolina,Chapel Hill,NC,Tarheels
idahost,Idaho State University,Pocatello,ID,Bengals
princeton,Princeton University,Princeton,NJ,Tigers
willmary,College of William and Mary,Williamsburg,VA,Tribe
belmont,Belmont University,Nashville,TN,Bruins
denisonoh,Denison University,Granville,OH,Big Red
nwestern,Northwestern University,Evanston,IL,Wildcats
iona,Iona College,New Rochelle,NY,Gaels
smethodist,Southern Methodist University,Dallas,TX,Mustangs
drexel,Drexel University,Philadelphia,PA,Dragons
stjosephs,Saint Joseph's University,Philadelphia,PA,Hawks
gatech,Georgia Institute of Technology,Atlanta,GA,Yellow Jackets
mcneese,McNeese State University,Lake Charles,LA,Cowboys
haskellks,Haskell Indian Nations University,Lawrence,KS,Indians
holycross,College of the Holy Cross,Worcester,MA,Crusaders
wyoming,University of Wyoming,Laramie,WY,Cowboys
mowestern,Missouri Western State College,Saint Joseph,MO,Griffons
wilacrosse,University of Wisconsin-La Crosse,La Crosse,WI,Eagles
byu,Brigham Young University,Provo,UT,Cougars
canisius,Canisius College,Buffalo,NY,Griffs
strose,College of Saint Rose,Albany,NY,Golden Knights
northwood,Northwood University,Midland,MI,Timberwolves
friendsks,Friends University,Wichita,KS,Falcons
hawaiihilo,University of Hawaii at Hilo,Hilo,HI,Vulcans
sonomast,Sonoma State University,Rohnert Park,CA,Seawolves
notredame,University of Notre Dame,South Bend,IN,Fighting Irish
wvwesleyan,West Virginia Wesleyan College,Buckhannon,WV,Bobcats
georgiast,Georgia State University,Atlanta,GA,Panthers
lasalle,LaSalle University,Philadelphia,PA,Explorers
emporiast,Emporia State University,Emporia,KS,Hornets
stfranpa,Saint Francis University,Loretto,PA,Red Flash
plymouth,Plymouth State University,Plymouth,NH,Panthers
wlmpennia,William Penn University,Oskaloosa,IA,Statesmen
shaw,Shaw University,Raleigh,NC,Bears
floridaam,Florida Agricultural and Mechanical University,Tallahassee,FL,Rattlers
sfaustin,Stephen F. Austin State University,Nacogdoches,TX,Lumberjacks
yale,Yale University,New Haven,CT,Bulldogs
gaswestern,Georgia Southwestern State University,Americus,GA,Hurricanes
coastcar,Coastal Carolina University,Conway,SC,Chanticleers
harvard,Harvard University,Cambridge,MA,Crimson
stfrncisil,University of St. Francis,Joliet,IL,Fighting Saints
ccri,Community College of Rhode Island,Warwick,RI,Knights
kentucky,University of Kentucky,Lexington,KY,Wildcats
newhaven,University of New Haven,New Haven,CT,Chargers
georgiasou,Georgia Southern University,Statesboro,GA,Eagles
xavier,Xavier University,Cincinnati,OH,Musketeers
