yearid,teamid,lgid,playerid,salary
2005,DET,AL,rodriiv01,8000000
1986,HOU,NL,ryanno01,1125000
2010,SLN,NL,pujolal01,14595953
1987,KCA,AL,stoddbo01,65000
1996,SLN,NL,mabryjo01,200000
1995,NYA,AL,bankhsc01,500000
2000,NYA,AL,hernaor01,1950000
2011,MIN,AL,pavanca01,8000000
1998,PIT,NL,martima02,190000
1986,CHN,NL,davisjo02,833333
1986,PIT,NL,lezcasi01,500000
1991,ML4,AL,surhobj01,1085000
2006,MIL,NL,cirilje01,850000
2011,CLE,AL,carraca01,415800
1989,BAL,AL,sheetla01,660000
1991,SDN,NL,whitsed01,1325000
2008,ARI,NL,lyonbr01,3125000
2007,ARI,NL,lyonbr01,1500000
2001,TEX,AL,curtich01,1900000
1997,SFN,NL,benarma01,185000
2007,WAS,NL,churcry01,395000
1999,ANA,AL,dicksja01,375000
2001,NYN,NL,appieke01,8500000
2001,OAK,AL,chaveer01,625000
1992,NYN,NL,bonilbo01,6100000
1996,DET,AL,clarkto02,109000
2006,NYA,AL,sheffga01,10756171
1990,CIN,NL,mcgrite01,104000
2003,COL,NL,kaplega01,3425000
2002,MIN,AL,guzmacr01,1425000
1988,BAL,AL,perazos01,62500
2006,BAL,AL,rakeraa01,327000
1996,SDN,NL,ausmubr01,350000
2001,SLN,NL,edmonji01,6333333
1993,NYA,AL,stanlmi02,675000
1985,SEA,AL,bradlph01,125000
1985,CHN,NL,brusswa01,375000
1986,ML4,AL,wegmabi01,70000
1993,MIN,AL,hartlmi01,625000
2006,TEX,AL,feldmsc01,329000
2011,LAA,AL,thompri03,418000
1999,TBA,AL,flahejo01,1280000
2011,TEX,AL,harrima01,428830
2006,MIN,AL,lohseky01,3950000
2010,BAL,AL,tatumcr01,400000
2012,HOU,NL,bogusbr01,483000
1999,PHI,NL,schilcu01,5250000
2010,HOU,NL,bournmi01,2400000
1994,KCA,AL,howarda02,220000
2011,LAA,AL,weaveje02,7365000
1999,SLN,NL,paquecr01,300000
1992,HOU,NL,portuma01,1250000
2006,CIN,NL,miltoer01,9833333
2011,KCA,AL,escobal02,428000
2007,COL,NL,torreyo01,1075000
