playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
fuentbr01,2008,1,COL,NL,1,5,67,0,0,0,30,188,47,19,3,22,82,,2.0,1.0,1.0,1.0,0.0,256.0,48.0,22,,,
dascedo01,1991,1,CHN,NL,0,0,3,0,0,0,0,12,2,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0,,,
forscbo01,1984,1,SLN,NL,2,5,16,11,1,0,0,157,64,35,6,19,21,0.0,6.0,0.0,5.0,0.0,0.0,233.0,2.0,38,,,
ciscoga01,1969,1,KCA,AL,1,1,15,0,0,0,1,67,17,9,4,15,18,0.0,3.0,0.0,2.0,0.0,0.0,98.0,8.0,11,,,
masonha01,1958,1,PHI,NL,0,0,1,0,0,0,0,15,7,6,0,2,3,0.0,10.0,0.0,0.0,1.0,0.0,24.0,0.0,7,,,
sabatcc01,2003,1,CLE,AL,13,9,30,30,2,1,0,593,190,79,19,66,141,0.0,3.0,3.0,4.0,6.0,2.0,832.0,0.0,85,,,
mauckha01,1893,1,CHN,NL,8,10,23,18,12,1,0,429,168,70,2,60,23,0.0,4.0,,9.0,0.0,0.0,0.0,4.0,112,,,
sutclri01,1980,1,LAN,NL,3,9,42,10,1,1,5,330,122,68,10,55,59,0.0,5.0,2.0,4.0,1.0,5.0,491.0,19.0,73,,,
lacyke01,1996,1,BOS,AL,2,0,11,0,0,0,0,32,15,4,2,8,9,0.0,3.0,0.0,0.0,1.0,0.0,54.0,3.0,5,,,
nichoki01,1900,1,BSN,NL,13,16,29,27,25,4,0,694,215,79,11,72,53,0.0,3.0,,6.0,11.0,0.0,962.0,2.0,116,,,
navarja01,1991,1,ML4,AL,15,12,34,34,10,2,0,702,237,102,18,73,114,0.0,3.0,3.0,10.0,6.0,0.0,1002.0,0.0,117,,,
boyercl01,1951,1,SLN,NL,2,5,19,8,1,0,1,190,68,37,9,46,40,0.0,5.0,,4.0,3.0,0.0,288.0,3.0,42,,,
beardmi01,1975,1,ATL,NL,4,0,34,2,0,0,0,211,71,25,4,28,27,0.0,3.0,5.0,2.0,2.0,3.0,309.0,8.0,31,,,
mayja01,1921,1,SLN,NL,1,3,5,5,1,0,0,63,29,11,0,12,5,0.0,4.0,,0.0,0.0,0.0,99.0,0.0,14,,,
ruffibr01,1993,1,COL,NL,6,5,59,12,0,0,2,419,145,60,10,69,126,0.0,3.0,9.0,8.0,1.0,0.0,619.0,8.0,71,,,
fischha01,1966,3,BOS,AL,2,3,6,5,1,0,0,93,35,10,4,11,26,0.0,2.0,1.0,1.0,1.0,0.0,135.0,0.0,12,,,
clayke01,1978,1,NYA,AL,3,4,28,6,0,0,0,227,89,36,3,21,32,0.0,4.0,3.0,4.0,2.0,0.0,336.0,13.0,41,,,
chrisla01,1975,1,PHI,NL,11,6,29,26,5,2,1,515,149,70,12,45,88,0.0,3.0,2.0,3.0,1.0,0.0,689.0,2.0,73,,,
vanpoto01,1996,1,OAK,AL,1,5,28,6,0,0,1,189,86,54,13,33,37,0.0,7.0,3.0,4.0,2.0,0.0,301.0,8.0,56,,,
mooreba01,1966,1,WS2,AL,3,3,12,11,1,0,0,187,55,26,3,39,28,0.0,3.0,2.0,4.0,1.0,0.0,271.0,1.0,26,,,
