hofid,yearid,votedby,ballots,needed,votes,inducted,category
boggswa01h,2005,BBWAA,516.0,387.0,474.0,Y,Player
tiantlu01h,1992,BBWAA,430.0,323.0,50.0,N,Player
fletcar01h,1948,BBWAA,121.0,91.0,3.0,N,Player
whitero01h,1985,BBWAA,395.0,297.0,0.0,N,Player
griffcl01h,1938,BBWAA,262.0,197.0,10.0,N,Pioneer/Executive
youngro01h,1954,BBWAA,252.0,189.0,34.0,N,Player
chaseha01h,1936,BBWAA,226.0,170.0,11.0,N,Player
wilsoha01h,1979,Veterans,,,,Y,Player
gleaski01h,1939,BBWAA,274.0,206.0,1.0,N,Player
hickmji02h,1980,BBWAA,385.0,289.0,1.0,N,Player
mcmilro01h,1972,BBWAA,396.0,297.0,9.0,N,Player
blylebe01h,2011,BBWAA,581.0,436.0,463.0,Y,Player
larsedo01h,1976,BBWAA,388.0,291.0,47.0,N,Player
dentbu01h,1990,BBWAA,444.0,333.0,3.0,N,Player
schalra01h,1951,BBWAA,226.0,170.0,37.0,N,Player
maranra01h,1939,BBWAA,274.0,206.0,82.0,N,Player
keltnke01h,1960,BBWAA,269.0,202.0,1.0,N,Player
parkeda01h,2010,BBWAA,539.0,405.0,82.0,N,Player
nehfar01h,1952,BBWAA,234.0,176.0,3.0,N,Player
ewingbu01h,1939,BBWAA,274.0,206.0,2.0,N,Player
floodcu01h,1995,BBWAA,460.0,345.0,59.0,N,Player
sherdbi01h,1958,BBWAA,266.0,200.0,2.0,N,Player
kuennha01h,1980,BBWAA,385.0,289.0,83.0,N,Player
lindsfr01h,1956,BBWAA,193.0,145.0,3.0,N,Player
smithsh01h,1948,BBWAA,121.0,91.0,1.0,N,Player
chandsp01h,1956,BBWAA,193.0,145.0,1.0,N,Player
mccovwi01h,1986,BBWAA,425.0,319.0,346.0,Y,Player
wambsbi01h,1954,BBWAA,252.0,189.0,4.0,N,Player
kellyge01h,1956,BBWAA,193.0,145.0,2.0,N,Player
stonest01h,1987,BBWAA,413.0,310.0,0.0,N,Player
ricesa01h,1950,BBWAA,168.0,126.0,1.0,N,Player
moraljo01h,1990,BBWAA,444.0,333.0,0.0,N,Player
hafeych01h,1950,BBWAA,168.0,126.0,4.0,N,Player
martipe01h,1962,BBWAA,160.0,120.0,6.0,N,Player
knoblch01h,2008,BBWAA,543.0,408.0,1.0,N,Player
foxxji01h,1946,Nominating Vote,202.0,,26.0,N,Player
dropowa01h,1967,BBWAA,292.0,219.0,1.0,N,Player
yerkest02h,1945,BBWAA,247.0,186.0,1.0,N,Player
paganjo01h,1979,BBWAA,432.0,324.0,0.0,N,Player
ruelmu01h,1954,BBWAA,252.0,189.0,5.0,N,Player
gracema01h,2009,BBWAA,539.0,405.0,22.0,N,Player
sukefcl01h,1958,BBWAA,266.0,200.0,1.0,N,Player
whitalo01h,2001,BBWAA,515.0,387.0,15.0,N,Player
marisro01h,1975,BBWAA,362.0,272.0,70.0,N,Player
glassja01h,1936,Veterans,78.0,59.0,2.0,N,Player
marioma01h,1962,BBWAA,160.0,120.0,16.0,N,Player
