playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
landrti01,1985,SLN,NL,NLCS,RF,1,0,7.0,0,0,0,0,0,,,
kremera01,1925,PIT,NL,WS,P,3,2,63.0,2,4,1,0,0,,1.0,1.0
ibanera01,2012,NYA,AL,ALDS1,DH,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0
watsoal01,1999,NYA,AL,ALCS,P,3,0,3.0,0,0,0,0,0,,0.0,0.0
maddugr01,1993,ATL,NL,NLCS,P,2,2,38.0,4,5,1,0,0,,1.0,0.0
reardje01,1987,MIN,AL,WS,P,4,0,14.0,0,0,0,0,0,,3.0,0.0
reedri01,2000,NYN,NL,NLDS2,P,1,1,18.0,0,0,0,0,0,,0.0,0.0
whitefr01,1985,KCA,AL,ALCS,2B,7,7,188.0,9,28,0,2,0,,,
maddugr01,2003,ATL,NL,NLDS2,P,1,1,18.0,0,0,0,0,0,,2.0,1.0
hernaro01,1997,SFN,NL,NLDS1,P,3,0,4.0,0,0,0,0,0,,1.0,0.0
grichbo01,1986,CAL,AL,ALCS,1B,3,3,81.0,26,2,1,5,0,,,
cervbo01,1960,NYA,AL,WS,LF,3,3,81.0,8,0,1,0,0,,,
swishni01,2008,CHA,AL,ALDS2,1B,1,0,3.0,1,0,0,0,0,,,
frienbo01,1960,PIT,NL,WS,P,3,2,18.0,1,3,0,0,0,,0.0,1.0
spencji01,1981,OAK,AL,AWDIV,1B,1,1,27.0,6,2,0,1,0,,,
pennybr01,2003,FLO,NL,NLDS1,P,2,1,17.0,1,0,0,0,0,,0.0,0.0
womacto01,1999,ARI,NL,NLDS2,RF,4,2,64.0,4,0,2,0,0,,,
berroan01,2008,LAN,NL,NLCS,2B,2,0,12.0,3,1,0,0,0,,,
wootesh01,2002,ANA,AL,WS,1B,2,0,8.0,3,0,0,0,0,,,
grissma02,1997,CLE,AL,ALDS1,CF,5,5,132.0,14,0,0,0,0,,,
oliveal01,1971,PIT,NL,NLCS,CF,4,3,87.0,5,0,0,0,0,,,
devorjo01,1911,NY1,NL,WS,LF,6,6,162.0,15,0,1,0,0,,,
chrisla01,1980,PHI,NL,NLCS,P,2,1,20.0,0,1,1,0,0,,0.0,0.0
lewisda01,1995,CIN,NL,NLDS2,CF,3,0,18.0,3,0,0,0,0,,,
ordonre01,1999,NYN,NL,NLDS2,SS,4,4,108.0,7,9,0,4,0,,,
brownmo01,1908,CHN,NL,WS,P,2,1,33.0,0,6,0,1,0,,0.0,0.0
wrighja02,1998,CLE,AL,ALDS1,P,1,1,13.0,0,0,0,0,0,,0.0,0.0
jonessa01,1918,BOS,AL,WS,P,1,1,27.0,1,3,0,0,0,,1.0,0.0
hernali01,1997,FLO,NL,NLCS,P,2,1,32.0,1,0,0,0,0,,0.0,1.0
daubeja01,1919,CIN,NL,WS,1B,8,8,216.0,81,5,2,4,0,,,
penato01,1997,HOU,NL,NLDS2,C,2,0,6.0,2,0,0,0,0,0.0,0.0,0.0
bradfch01,2000,CHA,AL,ALDS2,P,1,0,2.0,0,0,0,0,0,,0.0,0.0
lambmi01,2004,HOU,NL,NLCS,3B,1,1,34.0,1,3,0,0,0,,,
ackerji01,1989,TOR,AL,ALCS,P,5,0,19.0,1,1,0,0,0,,1.0,0.0
bridgto01,1940,DET,AL,WS,P,1,1,27.0,0,1,0,0,0,,0.0,1.0
sauersc01,2003,BOS,AL,ALCS,P,1,0,1.0,0,0,0,0,0,,0.0,0.0
doteloc01,2011,SLN,NL,NLDS1,P,3,0,,0,0,0,0,0,,,
devinjo01,2005,ATL,NL,NLDS2,P,3,0,5.0,0,0,0,0,0,,0.0,0.0
paytoja01,2000,NYN,NL,WS,CF,5,5,140.0,17,0,2,0,0,,,
