playerid,awardid,yearid,lgid,tie,notes
felscha01,Baseball Magazine All-Star,1917,AL,,OF
vandejo01,Baseball Magazine All-Star,1938,ML,,P3
speaktr01,Baseball Magazine All-Star,1920,ML,,OF
whitebi03,TSN All-Star,1964,NL,,1B
clarkja01,TSN All-Star,1978,NL,,OF
mussimi01,TSN All-Star,1995,AL,,RHP
santajo01,TSN Pitcher of the Year,2004,AL,,
giambja01,Hutch Award,2000,ML,,
cardele01,TSN All-Star,1971,AL,,SS
dickebi01,Baseball Magazine All-Star,1941,AL,,C
murphdw01,TSN All-Star,1981,AL,,OF
wilsoea01,TSN All-Star,1967,AL,,P
mussimi01,Gold Glove,1998,AL,,P
rosepe01,Hutch Award,1968,ML,,
smithle02,Rolaids Relief Man Award,1991,NL,,
loberha01,Baseball Magazine All-Star,1911,NL,,3B
wyattwh01,Baseball Magazine All-Star,1941,ML,,P2
ramirma02,Silver Slugger,1999,AL,,OF
torrejo01,Hutch Award,1971,ML,,
pujolal01,Hank Aaron Award,2003,NL,,
blairpa01,Gold Glove,1967,AL,,OF
camermi01,Gold Glove,2001,AL,,OF
boonebr01,Gold Glove,2004,AL,,2B
hudsoti01,Hutch Award,2010,ML,,
frencla01,Baseball Magazine All-Star,1936,NL,,P3
bluegos01,Baseball Magazine All-Star,1927,AL,,3B
gwynnto01,TSN All-Star,1986,NL,,OF
hoffmtr01,TSN Fireman of the Year,1996,NL,,
terrybi01,Baseball Magazine All-Star,1932,NL,,1B
portuma01,Silver Slugger,1994,NL,,P
drabedo01,TSN All-Star,1990,NL,,RHP
robinbr01,World Series MVP,1970,ML,,
coopemo01,Baseball Magazine All-Star,1942,NL,,P1
hunteto01,Gold Glove,2003,AL,,OF
grohhe01,Baseball Magazine All-Star,1919,ML,,3B
francjo01,TSN Fireman of the Year,1988,NL,,
smithoz01,Gold Glove,1984,NL,,SS
cronijo01,Baseball Magazine All-Star,1939,AL,,SS
valvejo01,TSN Reliever of the Year,2007,NL,,
leonaje01,NLCS MVP,1987,NL,,
newcodo01,TSN All-Star,1956,ML,,P
glaustr01,Silver Slugger,2001,AL,,3B
burleri01,TSN All-Star,1981,AL,,SS
simmoal01,Baseball Magazine All-Star,1925,AL,,CF
verlaju01,Rookie of the Year,2006,AL,,
mayswi01,TSN All-Star,1954,ML,,OF
evansdw01,Gold Glove,1984,AL,,OF
greenha01,Baseball Magazine All-Star,1945,ML,,LF
wagneho01,Baseball Magazine All-Star,1910,ML,,SS
rosepe01,Most Valuable Player,1973,NL,,
jonesan01,Gold Glove,2003,NL,,OF
edmonji01,Gold Glove,1998,AL,,OF
youngdm01,Comeback Player of the Year,2007,NL,,
pettiga01,Gold Glove,1985,AL,,OF
griffke02,Gold Glove,1990,AL,,OF
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
applilu01,TSN All-Star,1940,ML,,SS
gordojo01,Most Valuable Player,1942,AL,,
dyeje01,Silver Slugger,2006,AL,,OF
doerrbo01,Baseball Magazine All-Star,1946,AL,,2B
