playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
moranmi01,1997,1,PHI,NL,2B,146,142.0,3662.0,254.0,350.0,6.0,87.0,,,,,
suttoez01,1887,1,BSN,NL,OF,18,,,21.0,0.0,3.0,0.0,,,,,
phelpjo01,2008,1,SLN,NL,LF,3,3.0,63.0,1.0,0.0,0.0,0.0,,,,,
mottocu01,1967,1,BAL,AL,OF,18,15.0,413.0,36.0,0.0,1.0,0.0,,,,,
galatmi01,1933,1,CLE,AL,1B,5,,,30.0,3.0,0.0,2.0,,,,,
walkegr01,1989,1,CHA,AL,1B,48,46.0,1085.0,373.0,17.0,5.0,38.0,,,,,
marshto01,1992,1,PHI,NL,OF,35,32.0,819.0,66.0,0.0,2.0,0.0,,,,,
stewaan01,1997,1,KCA,AL,C,4,1.0,44.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
hallbe01,1911,1,PHI,NL,P,7,,,0.0,2.0,0.0,0.0,,,,,
bonneba01,1982,1,TOR,AL,OF,125,99.0,2762.0,232.0,3.0,5.0,0.0,,,,,
herrejo02,1996,1,OAK,AL,CF,19,14.0,336.0,31.0,0.0,1.0,0.0,,,,,
bellde01,1991,1,TOR,AL,OF,13,7.0,255.0,16.0,0.0,2.0,0.0,,,,,
seitzke01,1988,1,KCA,AL,OF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
gilesbr02,1996,1,CLE,AL,LF,11,4.0,138.0,16.0,0.0,0.0,0.0,,,,,
biittla01,1982,1,CIN,NL,LF,26,23.0,503.0,38.0,2.0,1.0,0.0,,,,,
blasiwa01,1966,1,ATL,NL,P,16,12.0,203.0,4.0,10.0,1.0,1.0,,,,,
pruethu01,1924,1,SLA,AL,P,33,,,6.0,16.0,1.0,0.0,,,,,
martist01,1940,1,SLN,NL,3B,73,,,52.0,89.0,4.0,2.0,,,,,
walkepe01,2002,2,TOR,AL,P,37,20.0,418.0,11.0,22.0,2.0,3.0,,,,,
easlemi01,1987,2,NYA,AL,RF,1,1.0,27.0,1.0,0.0,0.0,0.0,,,,,
avenbr01,2000,2,LAN,NL,LF,9,6.0,180.0,12.0,0.0,0.0,0.0,,,,,
spraged02,2001,1,SEA,AL,C,1,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barneep01,1924,1,PIT,NL,1B,1,,,8.0,1.0,0.0,0.0,,,,,
fitzged01,1950,1,PIT,NL,C,5,,,16.0,3.0,1.0,0.0,2.0,,,,
mcginjo01,1899,1,BLN,NL,OF,2,,,2.0,0.0,0.0,0.0,,,,,
borbope01,1973,1,CIN,NL,P,80,0.0,363.0,9.0,19.0,3.0,1.0,,,,,
gonzalu01,1999,1,ARI,NL,DH,4,,,,,,,,,,,
forceda01,1871,1,WS3,NA,3B,1,,,2.0,2.0,1.0,0.0,,,,,
andrest01,1945,1,BRO,NL,C,21,,,59.0,14.0,4.0,2.0,0.0,,,,
boonebo01,1979,1,PHI,NL,C,117,110.0,2891.0,527.0,65.0,7.0,8.0,2.0,21.0,54.0,42.0,4.0
longhe01,1899,1,BSN,NL,1B,2,,,20.0,2.0,0.0,1.0,,,,,
moynami01,1884,2,CL2,NL,OF,3,,,7.0,2.0,3.0,0.0,,,,,
merribi01,1897,1,PIT,NL,C,53,,,202.0,43.0,14.0,6.0,8.0,,,,
anderan01,1949,1,SLA,AL,SS,44,,,55.0,77.0,6.0,21.0,,,,,
whitedo01,1902,1,PHI,NL,P,36,,,11.0,83.0,7.0,0.0,,,,,
leonaje01,1984,1,SFN,NL,LF,116,109.0,2946.0,214.0,13.0,5.0,4.0,,,,,
heathmi02,1980,1,OAK,AL,DH,31,,,,,,,,,,,
gastomi01,1925,1,SLA,AL,P,42,,,10.0,49.0,0.0,2.0,,,,,
noboaju01,1984,1,CLE,AL,2B,19,1.0,150.0,7.0,13.0,0.0,4.0,,,,,
