managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
mcbridi01m,1874,PH1,,1,56,33,23,3.0,Y
willidi02m,1968,BOS,AL,1,162,86,76,4.0,N
rosepe01m,1987,CIN,NL,1,162,84,78,2.0,N
hackech99m,1885,BR3,AA,1,37,15,22,5.0,N
richapa01m,1951,CHA,AL,1,155,81,73,4.0,N
normabi01m,1958,DET,AL,2,105,56,49,5.0,N
bakerde01m,1933,DET,AL,2,2,2,0,5.0,N
crandde01m,1973,ML4,AL,1,162,74,88,5.0,N
simmojo01m,1875,KEO,,1,13,1,12,12.0,Y
kaskoed01m,1972,BOS,AL,1,155,85,70,2.0,N
jennihu01m,1914,DET,AL,1,157,80,73,4.0,N
torboje01m,2002,FLO,NL,1,162,79,83,4.0,N
seleefr99m,1905,CHN,NL,1,65,37,28,3.0,N
washiro01m,2011,TEX,AL,1,162,96,66,1.0,N
bresnro01m,1909,SLN,NL,1,154,54,98,7.0,Y
holmeto01m,1952,BSN,NL,1,35,13,22,7.0,N
aloufe01m,1992,MON,NL,2,125,70,55,2.0,N
wagneho01m,1917,PIT,NL,2,5,1,4,8.0,Y
foutzda01m,1895,BRO,NL,1,134,71,60,5.0,Y
stubimo01m,1988,CAL,AL,2,8,0,8,4.0,N
mackape01m,2007,CIN,NL,2,80,41,39,5.0,N
mcgeami01m,1880,PRO,NL,1,16,8,7,2.0,Y
howear01m,1991,HOU,NL,1,162,65,97,6.0,N
bambege01m,1979,ML4,AL,1,161,95,66,2.0,N
frankhe01m,1967,SFN,NL,1,162,91,71,2.0,N
coxbo01m,1999,ATL,NL,1,162,103,59,1.0,N
johnsda02m,2000,LAN,NL,1,162,86,76,2.0,N
howear01m,1992,HOU,NL,1,162,81,81,4.0,N
armoubi99m,1903,CLE,AL,1,140,77,63,3.0,N
mackco01m,1936,PHA,AL,1,154,53,100,8.0,N
wedgeer01m,2004,CLE,AL,1,162,80,82,3.0,N
andersp01m,1985,DET,AL,1,161,84,77,3.0,N
dooinre01m,1912,PHI,NL,1,152,73,79,5.0,Y
seleefr99m,1904,CHN,NL,1,156,93,60,2.0,N
martibi02m,1976,NYA,AL,1,159,97,62,1.0,N
gardero01m,2002,MIN,AL,1,161,94,67,1.0,N
bowala01m,2001,PHI,NL,1,162,86,76,2.0,N
streega01m,1932,SLN,NL,1,156,72,82,6.0,N
matheed01m,1972,ATL,NL,2,50,23,27,4.0,N
coxbo01m,2009,ATL,NL,1,162,86,76,3.0,N
cravebi01m,1874,PH2,,1,58,29,29,4.0,Y
streega01m,1931,SLN,NL,1,154,101,53,1.0,Y
carribi02m,1915,BOS,AL,1,155,101,50,1.0,Y
hoffmgl01m,1998,LAN,NL,2,88,47,41,3.0,N
