targetid,raceid,driverid,win
82,22,12,0
212,28,14,0
1438,82,39,0
1445,82,25,0
1571,87,38,0
3235,166,35,0
5256,234,30,0
7205,303,104,0
9360,274,87,0
10560,254,77,0
10869,216,22,0
11276,186,25,0
11810,127,56,0
12072,139,23,0
12935,59,30,0
16138,328,122,0
16312,333,55,0
17177,308,90,0
18238,358,65,0
18329,360,146,0
18919,370,88,0
19077,375,123,0
20035,407,175,0
20272,414,158,0
21498,450,118,0
21942,464,163,0
22426,477,152,0
22451,477,209,0
23014,491,199,0
43488,838,793,0
43944,830,732,0
44175,818,526,1
44663,824,699,0
44890,811,654,0
46368,797,578,0
46797,789,512,0
46908,791,586,0
47270,781,538,0
48150,741,427,0
48348,745,394,0
49031,767,289,0
49037,767,582,0
49354,772,541,0
49494,773,431,0
50182,754,504,0
51602,802,579,1
51786,804,526,0
53190,633,306,0
53412,640,293,0
53555,668,373,0
53665,671,370,0
55453,595,224,0
56020,578,200,0
56294,586,224,0
56377,587,298,0
56613,564,252,0
57529,538,175,0
57559,538,244,0
57812,545,257,0
58061,552,205,0
58734,521,203,0
62043,758,289,0
62411,763,347,0
65048,865,18,0
65082,866,818,0
65910,896,807,0
66641,901,8,0
66866,911,821,0
67677,953,831,0
68042,965,13,0
