driverstandingsid,raceid,driverid,points,position,positiontext,wins
9619,284,79,0.0,25,25,0
12506,94,13,1.0,11,11,0
45123,814,659,0.0,87,87,0
46229,795,651,0.0,56,56,0
47364,782,484,0.0,41,41,0
51172,703,373,36.0,1,1,4
51458,708,426,0.0,44,44,0
54461,647,333,0.0,28,28,0
55010,613,304,23.0,5,5,1
55180,617,250,7.0,10,10,0
55225,618,222,0.0,29,29,0
55617,599,182,38.0,1,1,2
55939,604,315,0.0,52,52,0
56069,580,224,21.0,1,1,1
58585,516,200,0.0,14,14,0
58893,526,207,14.0,12,12,0
62149,759,404,3.0,11,11,0
62329,762,347,10.0,6,6,1
62516,764,513,0.0,31,31,0
63588,726,346,1.0,15,15,0
66180,261,14,0.0,33,33,0
66762,906,20,60.0,5,5,0
