constructorid,constructorref,name,nationality,url
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows
34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team)
47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team)
48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen
71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
